GUID c09894f89f524c6ba48f447064acd2eb
Type Vehicle
Rarity Rare
ID 19302

Cam_Follow_Distance 5

Speed_Min -7
Speed_Max 20

Steer_Min 10
Steer_Max 23

Brake 50

Exit 3

Physics_Profile 8acd5d1e4a61449fbd4928058f62a8a6

Fuel_Min 200
Fuel_Max 400
Fuel 1500

IgnitionAudioClip vintagecars.masterbundle:Bundle/Sounds/Ignition_Medium1.mp3
HornAudioClip vintagecars.masterbundle:Bundle/Sounds/NULL_LOOP1.wav

Health_Min 400
Health_Max 700
Health 1200

Trunk_Storage_X 5
Trunk_Storage_Y 5

Explosion d739c4d35a634be7b2e30458c07beb7f

Has_Clip_Prefab false
Cam_Driver_Offset -0.07

Pitch_Idle -0.1
Pitch_Drive 0.03

Valid_Speed_Horizontal 150

Fuel_Burn_Rate 1

WheelConfigurations
[
	{
		WheelColliderPath Tires/Tire_0
		IsColliderSteered true
		IsColliderPowered true
		ModelPath Wheels/Wheel_0
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_1
		IsColliderSteered true
		IsColliderPowered true
		ModelPath Wheels/Wheel_1
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_2
		IsColliderSteered false
		IsColliderPowered true
		ModelPath Wheels/Wheel_2
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_3
		IsColliderSteered false
		IsColliderPowered true
		ModelPath Wheels/Wheel_3
		ModelUseColliderPose true
	}
]


ReverseGearRatio 3
ForwardGearRatios
[
	7.5
	6.5
	5
	4.7
]
GearShift_UpThresholdRPM 2500
GearShift_DownThresholdRPM 1200
GearShift_Duration 0.65
GearShift_Interval 0.45
EngineIdleRPM 600
EngineMaxRPM 2800
EngineMaxTorque 75

EngineSound_Type EngineRPMSimple
EngineSound
{
	IdlePitch 0.55
	IdleVolume 0.5
	MaxPitch 1.1
	MaxVolume 1.2
}
Asset_Bundle_Version 5
