GUID 61b75b75c3424e2392a7b3e82d553eb2

Type Melee
Rarity Epic
Useable Melee
Slot Any
ID 51251
Size_X 5
Size_Y 2
Size_Z 0.7
Size2_Z 0.55

Range 4
Strength 1.5
Stamina 30

EquipablePrefab Items/Weapons/Melee/Claymore_Damaged/Equipable.prefab

Player_Damage 50
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 75
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 50
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 2
Structure_Damage 2
Vehicle_Damage 15
Resource_Damage 25
Object_Damage 20

Durability 0.2

Blueprints 3
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 51018
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 2
Blueprint_1_Supply_0_ID 51251
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Supply_1_ID 51018
Blueprint_1_Supply_1_Amount 4
Blueprint_1_Product 51252
Blueprint_1_Products 1

Blueprint_1_Build 27
Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 51251
Blueprint_2_Product 51018
Blueprint_2_Products 2
Blueprint_2_Build 27
AttackAudioClip Sounds/Big_Swing.mp3

