GUID ba39affadf784b239844fd65e5800ba9

Type Small
Has_Clip_Prefab false
ID 57530

Interactability_Conditions 1
Interactability_Condition_0_Type Flag_Bool
Interactability_Condition_0_ID 57102
Interactability_Condition_0_Value True
Interactability_Condition_0_Logic Equal

Interactability Quest
Interactability_Effect 8
Interactability_Rewards 2
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 57201
Interactability_Reward_0_Value False
Interactability_Reward_1_Type Flag_Bool
Interactability_Reward_1_ID 57200
Interactability_Reward_1_Value True

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 57201
Condition_0_Value True
Condition_0_Logic Equal


Master_Bundle_Override metro.masterbundle
Bundle_Override_Path /Objects/Quest/NPC/DJ/Metro_Laptop_Left_1
