GUID e1e1bc3da03b4f01af5b403a7994dd1f

Type Gun
Rarity Rare
Useable Gun
Slot Primary
ID 19848

EquipAudioClip aridreborn.masterbundle:Assets/Guns_Equip/Equip_T22.wav

Use_Auto_Icon_Measurements False

Size_X 4
Size_Y 2
Size_Z 0.418

Magazine 19250

Hook_Sight
Hook_Barrel
Hook_Tactical

Ammo_Min 10
Ammo_Max 20

Safety
Semi
Auto

Magazine_Calibers 1
Magazine_Caliber_0 18805

Attachment_Calibers 3
//Scope
Attachment_Caliber_0 18911
//Barrel
Attachment_Caliber_1 18925
//Tactical
Attachment_Caliber_2 18922

BladeIDs 2
BladeID_0 0
BladeID_1 2

Muzzle 19000

Shell 19003

Player_Damage_Bleeding Always

Quality_Min 60
Quality_Max 75

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Guns/Sniper_Rifles/PS_M22

Blueprints 2

//Repair
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 19659
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27

//Salvage
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 19848
Blueprint_1_Outputs 1
//Supply (Low Tier Gun Parts)
Blueprint_1_Output_0_ID 19248
Blueprint_1_Output_0_Amount 3
Blueprint_1_Tool 19004
Blueprint_1_Build 27

Actions 1
Action_0_Type Blueprint
Action_0_Blueprint_0_Index 0
Action_0_Blueprint_0_Link
Action_0_Text Scrap
Action_0_Tooltip Turn into components.

////////////////////////////////////////Balance Stats

Range 400
Ballistic_Steps 40
Ballistic_Drop 0.00055
Damage_Falloff_Multiplier 0.6
Damage_Falloff_Range 0.666
Damage_Falloff_Max_Range 1
Gunshot_Rolloff_Distance 800

Can_Ever_Jam
Jam_Quality_Threshold 0.5
Jam_Max_Chance 0.05
Unjam_Chamber_Anim Jam

Aim_In_Duration 0.4

Firerate 5
Action Trigger

Player_Damage 17
Player_Leg_Multiplier 0.5
Player_Arm_Multiplier 0.5
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.9

Zombie_Damage 34
Zombie_Leg_Multiplier 0.5
Zombie_Arm_Multiplier 0.5
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 1.9

Animal_Damage 34
Animal_Leg_Multiplier 0.5
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1.9

Barricade_Damage 17
Structure_Damage 17
Vehicle_Damage 17
Resource_Damage 34
Object_Damage 34

Durability 0.05

Recoil_Min_X -0.5
Recoil_Min_Y 2
Recoil_Max_X 0.5
Recoil_Max_Y 2.5

Recover_X 0.95
Recover_Y 0.95

Shake_Min_X -0.003
Shake_Min_Y -0.002
Shake_Min_Z 0
Shake_Max_X 0.003
Shake_Max_Y 0.005
Shake_Max_Z -0.01

Recoil_Crouch 1.1
Recoil_Prone 2.5
Recoil_Midair 3

Spread_Aim 0.06
Spread_Hip 0.12
Spread_Prone 0.5
Spread_Crouch 0.9
Spread_Midair 3
