GUID ee77b1bb58a842d1b915f59297fb7e45
Type Grip
Rarity Epic
ID 51383

Size_X 1
Size_Y 2
Size_Z 0.3

Recoil_X 0.7
Recoil_Y 0.7
Aim_Duration_Multiplier 1.1

Spread 0.7
Sway 0.5
Shake 0.4

Bipod

Blueprints 2
Blueprint_0_Type Tool
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 51009
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 51017
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Tool 51000
Blueprint_0_Tool_Critical
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 51383
Blueprint_0_Output_0_Amount 1
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 51383
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 51028
Blueprint_1_Output_0_Amount 2

Blueprint_0_Build 27
Blueprint_1_Build 27
