GUID 4923334e28c546ff991eae84eb2de4c3


Type Gun
Rarity Uncommon
Useable Gun
Slot Secondary
ID 63327

Can_Aim_During_Sprint True


Size_X 2
Size_Y 2
Size_Z 0.37

Magazine 63326
Grip 19750

EquipAudioClip aridreborn.masterbundle:Assets/Guns_Equip/Equip_Kasov.wav

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Guns/Handguns/PS_Burette

Hook_Barrel
Hook_Sight

Ammo_Min 15
Ammo_Max 17

Semi
Safety
Attachment_Calibers 3
Attachment_Caliber_0 18900
Attachment_Caliber_1 18907
Attachment_Caliber_2 18901

Magazine_Calibers 1
Magazine_Caliber_0 19327

Firerate 4
Action Trigger

Player_Damage 27
Player_Leg_Multiplier 0.4
Player_Arm_Multiplier 0.4
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 50
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 50
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 15
Vehicle_Damage 20
Resource_Damage 25
Object_Damage 40

Durability 0.35

Spread_Aim 0.1
Spread_Hip 0.09

Recoil_Min_X -2.5
Recoil_Min_Y 6
Recoil_Max_X -2.5
Recoil_Max_Y 6

Recover_X 0.4
Recover_Y 0.4

Shake_Min_X 0.007
Shake_Min_Y -0.03
Shake_Min_Z -0.02
Shake_Max_X 0.007
Shake_Max_Y -0.03
Shake_Max_Z -0.02

Range 100
Ballistic_Steps 75
Ballistic_Travel 8
Ballistic_Drop 0.002

Damage_Falloff_Range 0.05
Damage_Falloff_Max_Range 0.25
Damage_Falloff_Multiplier 0.6

Muzzle 30035

Shell 30000

Blueprints 1
//Repair
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27

BladeIDs 2
BladeID_0 0
BladeID_1 2

Use_Auto_Icon_Measurements False

Recoil_Crouch 0.8
Recoil_Prone 1

Spread_Prone 1
Spread_Crouch 1

Quality_Min 60
Quality_Max 75
