GUID 4877a7b1fc2b442f92d8536398df0cf7

Type Gun
Rarity Uncommon
Useable Gun
Requires_NonZero_Attachment_Caliber True
Slot Primary
ID 23109

EquipAudioClip classicweapons.masterbundle:Assets/Guns_Equip/Equip_Sniper.wav

Instantiated_Item_Name_Override 11027

Size_X 5
Size_Y 2
Size_Z 0.3

Ammo_Min 1
Ammo_Max 2

Safety
Bursts 2
Semi

Magazine 31031

Magazine_Calibers 1
Magazine_Caliber_0 25033

BladeIDs 2
BladeID_0 0
BladeID_1 2

Shell 30001




Muzzle 30042

Blueprints 1

//Repair
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27
Use_Auto_Stat_Descriptions false

////////////////////////////////////////Balance Stats

Range 100
Ballistic_Steps 10
Ballistic_Drop 0.00055
Damage_Falloff_Multiplier 0.6
Damage_Falloff_Range 0.666
Damage_Falloff_Max_Range 1
Gunshot_Rolloff_Distance 200

Firerate 3
Action Break

Player_Damage 15
Player_Leg_Multiplier 1
Player_Arm_Multiplier 1
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.2

Zombie_Damage 22
Zombie_Leg_Multiplier 1
Zombie_Arm_Multiplier 1
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 1.2

Animal_Damage 22
Animal_Leg_Multiplier 1
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1.2

Barricade_Damage 6
Structure_Damage 6
Vehicle_Damage 3
Resource_Damage 6
Object_Damage 10

Durability 0.2

Recoil_Min_X -5.8
Recoil_Min_Y 28
Recoil_Max_X 10.8
Recoil_Max_Y 30

Recover_X 0.8
Recover_Y 0.85

Shake_Min_X -0.01
Shake_Max_X 0.05

Shake_Min_Y -0.05
Shake_Max_Y 0.01

Shake_Min_Z -0.01
Shake_Max_Z -0.02

Recoil_Midair 3

Spread_Aim 0.15
Spread_Hip 0.3
Spread_Midair 3
