GUID 8fe5dc233a8340ca9b89646cd6d39cd5
Type Melee
Rarity Uncommon
Useable Melee
ID 59287
Slot Any

Size_X 2
Size_Y 3
Size_Z 0.675

Range 3.25
Strong 0.44
Strength 1.25
Stamina 10

Player_Damage 11
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 11
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 11
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 11
Structure_Damage 11
Vehicle_Damage 25
Resource_Damage 111
Object_Damage 55

Quality_Min 100

BladeID 4
Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59000
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27
