GUID 613d077e53c34af3a99189844bb8a737

Type Melee
Rarity Legendary
Useable Melee
Slot Secondary
ID 57091 

Size_X 1
Size_Y 4
Size_Z 0.9

Range 3.5
Strength 1.1
Stamina 22

Player_Damage 83
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 150
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 100
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 5
Structure_Damage 5
Vehicle_Damage 25
Resource_Damage 10
Object_Damage 25

Blueprints 3
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 57091
Blueprint_1_Product 67
Blueprint_1_Products 5
Blueprint_1_Build 27
Blueprint_2_Type Gear
Blueprint_2_Supplies 2
Blueprint_2_Supply_0_ID 57093
Blueprint_2_Supply_1_ID 57092
Blueprint_2_Build 27

Asset_Bundle_Version 3
