GUID 29262caab32941618e0f16af5abcdda6

Type Gun
Rarity Mythical
Useable Gun
Slot Primary
ID 64517

Size_X 5
Size_Y 2
Size_Z 0.425


EquipAudioClip aridreborn.masterbundle:Assets/Guns_Equip/Equip_AUG.wav

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Guns/Machineguns/PS_Bozar

Equipable_Movement_Speed_Multiplier 0.8

Sight 19780
Magazine 10518

Hook_Sight

Ammo_Min 10
Ammo_Max 30

Safety
Auto
Semi

Attachment_Calibers 1
Attachment_Caliber_0 18904

Magazine_Calibers 1
Magazine_Caliber_0 10517

Firerate 6
Action Trigger

Player_Damage 23
Player_Leg_Multiplier 0.4
Player_Arm_Multiplier 0.4
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.5

Zombie_Damage 111
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 150
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1


Barricade_Damage 0
Structure_Damage 0
Vehicle_Damage 15
Resource_Damage 25
Object_Damage 40

Durability 0.08

Spread_Aim 0.04
Spread_Hip 0.07

Recoil_Min_X -1.35
Recoil_Min_Y 2.25
Recoil_Max_X 1.35
Recoil_Max_Y 2.75

Recover_X 0.3
Recover_Y 0.3

Shake_Min_X 0.005
Shake_Min_Y 0.01
Shake_Min_Z -0.03
Shake_Max_X -0.005
Shake_Max_Y 0.02
Shake_Max_Z -0.06

Range 600
Ballistic_Steps 100
Ballistic_Travel 6
Ballistic_Drop 0.0007

Damage_Falloff_Range 0.06
Damage_Falloff_Multiplier 0.5

Muzzle 19058

Shell 19018

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 19659
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 10517
Blueprint_1_Product 19262
Blueprint_1_Products 4
Blueprint_1_Tool 19004
Blueprint_1_Build 27

BladeIDs 2
BladeID_0 0
BladeID_1 2

Use_Auto_Icon_Measurements True

Recoil_Crouch 0.8
Recoil_Prone 1

Spread_Prone 1
Spread_Crouch 1

Player_Damage_Bleeding Always

Quality_Min 5
Quality_Max 15
