GUID 42063ed8d0cc475ba81293a39bd9b186
Type Melee
Rarity Uncommon
Useable Melee
Slot Any
ID 51273

Size_X 4
Size_Y 2
Size_Z 0.7
Size2_Z 0.55

Range 3	
Strength 1.5
Stamina 30

EquipablePrefab Items/Weapons/Melee/Rake/Equipable.prefab

Player_Damage 50
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 50
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.5

Animal_Damage 50
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 50
Structure_Damage 0
Vehicle_Damage 20
Resource_Damage 75
Object_Damage 60

Durability 0

Blueprints 2
Blueprint_0_Type Tool
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 51273
Blueprint_0_Product 51017
Blueprint_0_Products 3
Blueprint_0_Build 27

Blueprint_1_Type Repair
Blueprint_1_Supply_0_ID 51017
Blueprint_1_Supply_0_Amount 3
Blueprint_1_Build 27

AttackAudioClip Sounds/Big_Swing.mp3

