GUID 6f5c4804195745c485cd3b8dda10db8a
Type Gun
Rarity Legendary
Useable Gun
Requires_NonZero_Attachment_Caliber True
Slot Primary
ID 30600

EquipAudioClip classicweapons.masterbundle:Assets/Guns_Equip/Equip_AMR.wav

Unplace 0.2
Replace 0.65

Equipable_Movement_Speed_Multiplier 0.8

Invulnerable

Size_X 5
Size_Y 2
Size_Z 0.375

Sight 31271
Magazine 31130
Grip 31265
Tactical 31235

Hook_Grip
Hook_Sight

Ammo_Min 0
Ammo_Max 10

Safety
Semi

Magazine_Calibers 1
Magazine_Caliber_0 25067

Attachment_Calibers 6
//Defalut Sights (Idk)
Attachment_Caliber_0 25000
//Halo Sights
Attachment_Caliber_1 25200
//Scopes 2x-4x
Attachment_Caliber_2 25201
//Scopes 8x-16x
Attachment_Caliber_3 25202
//Grip
Attachment_Caliber_4 25014
//Grip
Attachment_Caliber_5 25016

Muzzle 30041

Shell 30006

BladeIDs 2
BladeID_0 0
BladeID_1 2

Use_Auto_Icon_Measurements True

Player_Damage_Bleeding Always




Blueprints
[
	{
		Name Repair
		CategoryTag "732ee6ffeb18418985cf4f9fde33dd11" // Repair
		Operation RepairTargetItem
		InputItems
		[
			{
				ID "42ed3dec53e943c08810f115b75e9302" // Metal Scrap
				Amount 1
			}
		]
		RequiresNearbyCraftingTags
		[
			"7b82c125a5a54984b8bb26576b59e977" // Workbench
		]
		Effect "84347b13028340b8976033c08675d458" // Wrench
	}
	{
		Name Salvage
		CategoryTag "7ed29f9101ae4523a3b2e389414b7bd9" // Salvage
		InputItems this
		OutputItems "21ede8ebffb14c5580e8c7ad149e335e x 6" // Metal Scrap
		Effect "84347b13028340b8976033c08675d458" // Wrench
	}
]

////////////////////////////////////////Balance Stats

Range 600
Ballistic_Steps 60
Ballistic_Drop 0.00055
Damage_Falloff_Multiplier 0.6
Damage_Falloff_Range 0.666
Damage_Falloff_Max_Range 1
Gunshot_Rolloff_Distance 1800



Firerate 15
Action Trigger

Player_Damage 111
Player_Leg_Multiplier 0.5
Player_Arm_Multiplier 0.5
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.7

Zombie_Damage 222
Zombie_Leg_Multiplier 0.5
Zombie_Arm_Multiplier 0.5
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 1.7

Animal_Damage 222
Animal_Leg_Multiplier 0.5
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1.7

Barricade_Damage 40
Structure_Damage 40
Vehicle_Damage 100
Resource_Damage 40
Object_Damage 50

Durability 0.5

Recoil_Min_X -6.4
Recoil_Min_Y 20
Recoil_Max_X 6.4
Recoil_Max_Y 25

Recover_X 0.8
Recover_Y 0.85

Shake_Min_X -0.03
Shake_Max_X 0.03

Shake_Min_Y -0.04
Shake_Max_Y -0.05

Shake_Min_Z -0.045
Shake_Max_Z -0.05

Recoil_Midair 3

Spread_Aim 0.03
Spread_Hip 0.06
Spread_Midair 3
