GUID 5d6d0fb858324d65a053632c8b153256


Type Gun
Rarity Rare
Useable Gun
Slot Secondary
ID 63961

EquipAudioClip aridreborn.masterbundle:Assets/Guns_Equip/Equip_Kasov.wav

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Guns/Handguns/PS_Chekchyn

Size_X 3
Size_Y 2
Size_Z 0.4

Magazine 63326
Grip 19750

Hook_Barrel
Hook_Sight

Ammo_Min 15
Ammo_Max 17


Semi
Auto

Attachment_Calibers 3
Attachment_Caliber_0 18900
Attachment_Caliber_1 18901
Attachment_Caliber_2 18907

Magazine_Calibers 1
Magazine_Caliber_0 19327

Firerate 5
Action Trigger

Player_Damage 25
Player_Leg_Multiplier 0.4
Player_Arm_Multiplier 0.4
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 100
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 100
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 15
Vehicle_Damage 20
Resource_Damage 25
Object_Damage 40

Durability 0.3

Spread_Aim 0.1
Spread_Hip 0.05

Recoil_Min_X -0
Recoil_Min_Y 6
Recoil_Max_X -2
Recoil_Max_Y 7

Recover_X 0.2
Recover_Y 0.2

Range 100
Ballistic_Steps 75
Ballistic_Travel 8
Ballistic_Drop 0.002

Damage_Falloff_Range 0.05
Damage_Falloff_Max_Range 0.25
Damage_Falloff_Multiplier 0.6

Shake_Min_X 0.002
Shake_Min_Y -0.015
Shake_Min_Z -0.02
Shake_Max_X 0.002
Shake_Max_Y -0.015
Shake_Max_Z -0.02
Use_Auto_Stat_Descriptions false

Muzzle 19000

Shell 19003

Quality_Min 60
Quality_Max 75

Blueprints 1
//Repair
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27

BladeIDs 2
BladeID_0 0
BladeID_1 2

Use_Auto_Icon_Measurements True

Recoil_Crouch 0.8
Recoil_Prone 1

Spread_Prone 1
Spread_Crouch 1

Player_Damage_Bleeding Always
