GUID 3e41cd85df024efe886b3de88f14ab16


Type Magazine
Rarity Legendary
ID 63502

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Magazines/Nades/PS_MGL_Nades_Fire

Size_X 2
Size_Y 2
Size_Z 0.255

Speed 1.4

Amount 6
Count_Min 3
Count_Max 6

Calibers 1
Caliber_0 19389

Tracer 19030

Blueprints 2
Blueprint_0_Type Tool
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 18999
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Tool 18999
Blueprint_0_Tool_Critical
Blueprint_0_Build 27
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 63502
Blueprint_1_Build 30

Delete_Empty

Range 5
Player_Damage 1
Zombie_Damage 1
Animal_Damage 1
Barricade_Damage 1
Structure_Damage 1
Vehicle_Damage 1
Resource_Damage 1
Object_Damage 1
Explosion 18010
Explosive
