GUID 58f2695a79c64d4092dd5301ae1a37de

Type Barricade
Has_Clip_Prefab false
Rarity Epic
Useable Barricade
Build Hatch
ID 57275

Size_X 1
Size_Y 1
Size_Z 0.35

Health 1350
Range 4
Radius 0.4

Locked

Explosion 36

Blueprints 1
Blueprint_0_Type Barricade
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 6
Blueprint_0_Supply_1_ID 285
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Supply_2_ID 57110 
Blueprint_0_Supply_2_Amount 1
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27
Blueprint_0_Map Elver

Asset_Bundle_Version 3
