GUID d63675ff1de344b097faeab6a13ea378
Type Sight
Rarity Legendary
ID 19780

Size_X 2
Size_Y 1
Size_Z 0.165

Sway 1.8
Zoom 8
Aim_Duration_Multiplier 1.16

Calibers 1
Caliber_0 18911

Blueprints 1
Blueprint_0_Type Tool
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 19780
Blueprint_0_Outputs 2
Blueprint_0_Output_0_ID 19000
Blueprint_0_Output_0_Amount 1
Blueprint_0_Output_1_ID 19001
Blueprint_0_Output_1_Amount 1
Blueprint_0_Tool 19004
Blueprint_0_Build 27

Actions 1

Action_0_Type Blueprint
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Blueprint_0_Link
Action_0_Text Scrap
Action_0_Tooltip Turn into components.
