GUID c34ed22d37cf40bd9428be0e5ef69450

Type Gun
Rarity Mythical
Useable Gun
Slot Primary
ID 69392

Size_X 5
Size_Y 2
Size_Z 0.52

EquipAudioClip classicweapons.masterbundle:Assets/Guns_Equip/Equip_Sniper.wav
Aim_In_Duration 0.4

Sight 19780
Magazine 19391
Grip 19752
Tactical 19678

Hook_Sight
Hook_Tactical

Ammo_Min 3
Ammo_Max 7


Safety
Semi

Attachment_Calibers 2
Attachment_Caliber_0 18904
Attachment_Caliber_1 18902

Magazine_Calibers 1
Magazine_Caliber_0 19391

Firerate 50
Action Bolt

Player_Damage 90
Player_Leg_Multiplier 0.33
Player_Arm_Multiplier 0.33
Player_Spine_Multiplier 1
Player_Skull_Multiplier 2

Zombie_Damage 90
Zombie_Leg_Multiplier 0.33
Zombie_Arm_Multiplier 0.33
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 2

Animal_Damage 90
Animal_Leg_Multiplier 0.33
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 2

Barricade_Damage 75
Structure_Damage 75
Vehicle_Damage 30
Resource_Damage 333
Object_Damage 250

Durability 0.7

Spread_Aim 0.002
Spread_Hip 0.4

Range 600
Ballistic_Steps 40
Ballistic_Travel 15
Ballistic_Drop 0.00075

Recoil_Min_X 5
Recoil_Min_Y 8
Recoil_Max_X -5
Recoil_Max_Y 11

Recover_X -0.85
Recover_Y -0.85

Shake_Min_X 0.005
Shake_Min_Y 0.01
Shake_Min_Z -0.03
Shake_Max_X 0.005
Shake_Max_Y 0.0165
Shake_Max_Z -0.03

Muzzle 19058

Shell 19005

Gunshot_Rolloff_Distance 1300

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27

BladeIDs 2
BladeID_0 0
BladeID_1 2

Use_Auto_Icon_Measurements False

Recoil_Crouch 0.8
Recoil_Prone 0.7

Spread_Prone 1
Spread_Crouch 1

Player_Damage_Bleeding Always

Quality_Min 5
Quality_Max 15

Unplace 0.11
Replace 0.8
