GUID 78666a01bd224c19a79b34bd4ba19009
Type Gun
Rarity Uncommon
Useable Gun
Slot Secondary
ID 6682

Size_X 2
Size_Y 1
Size_Z 0.35

Barrel 354

Magazine 6676

Ammo_Min 1
Ammo_Max 1

Semi

Caliber 6676

Range 130
Firerate 50
Replace 0.6
Action String

Player_Damage 40
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 50
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 60
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Durability 1
Wear 6

Spread_Aim 0.15
Spread_Hip 0.2

Ballistic_Steps 26
Ballistic_Travel 5
Ballistic_Drop 0.001

Recoil_Min_X -5
Recoil_Min_Y 5
Recoil_Max_X 5
Recoil_Max_Y 10

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Blueprints 2
Blueprint_0_Type Tool
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 40
Blueprint_0_Supply_0_Amount 5
Blueprint_0_Supply_1_ID 66
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Level 1
Blueprint_0_Skill Craft
Blueprint_0_Build 27
Blueprint_0_Map Easter Island
Blueprint_1_Type Repair
Blueprint_1_Supplies 2
Blueprint_1_Supply_0_ID 40	
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Supply_1_ID 66	
Blueprint_1_Supply_1_Amount 1
Blueprint_1_Build 27
Blueprint_1_Map Easter Island
