GUID af76dfe9169f498f971a17277d2eecb7

Type Gun
Rarity Rare
Useable Gun
Slot Secondary
ID 10807

EquipAudioClip aridreborn.masterbundle:Assets/Guns_Equip/Equip_Deagle.wav

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Guns/Handguns/PS_RS50

Size_X 2
Size_Y 2
Size_Z 0.41

Magazine 31022

Unplace 0.40
Replace 0.80
EquipableModelParent SpineHook
Instantiated_Item_Name_Override 10807

Ammo_Min 2
Ammo_Max 5

Safety
Semi

Magazine_Calibers 1
Magazine_Caliber_0 25029

Muzzle 30035

Shell 30005

BladeIDs 2
BladeID_0 0
BladeID_1 2

Player_Damage_Bleeding Always

Quality_Min 50
Quality_Max 50
Use_Auto_Stat_Descriptions false

Blueprints 1

//Repair
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27


////////////////////////////////////////Balance Stats

Range 500
Ballistic_Steps 50
Ballistic_Drop 0.0011
Damage_Falloff_Multiplier 0.6
Damage_Falloff_Range 0.666
Damage_Falloff_Max_Range 1
Gunshot_Rolloff_Distance 1000
Aim_In_Duration 0.1

Firerate 20
Action Trigger

Player_Damage 44
Player_Leg_Multiplier 0.5
Player_Arm_Multiplier 0.5
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.9

Zombie_Damage 88
Zombie_Leg_Multiplier 0.5
Zombie_Arm_Multiplier 0.5
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 1.9

Animal_Damage 88
Animal_Leg_Multiplier 0.5
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1.9

Barricade_Damage 44
Structure_Damage 44
Vehicle_Damage 44
Resource_Damage 88
Object_Damage 88

Durability 0.15

Recoil_Min_X -1
Recoil_Min_Y 48
Recoil_Max_X 1
Recoil_Max_Y 40

Recover_X 0.95
Recover_Y 0.95

Shake_Min_X 0.025
Shake_Min_Y -0.08
Shake_Min_Z -0.05
Shake_Max_X 0.03
Shake_Max_Y -0.1
Shake_Max_Z -0.1

Recoil_Midair 3

Spread_Aim 0.04
Spread_Hip 0.08
Spread_Midair 3
