GUID c39c6b5a7b524be991d5dabb7044190e

Type Gun
Rarity Rare
Useable Gun
Requires_NonZero_Attachment_Caliber True
Slot Secondary
ID 63409

EquipAudioClip classicweapons.masterbundle:Assets/Guns_Equip/Equip_Deagle.wav

Size_X 2
Size_Y 2
Size_Z 0.321

Magazine 63289

Unplace 0.01
Replace 0.01

EquipableModelParent SpineHook
Instantiated_Item_Name_Override 19950

Hook_Sight
Hook_Tactical

Ammo_Min 4
Ammo_Max 8

Safety
Semi

Magazine_Calibers 1
Magazine_Caliber_0 19290

Attachment_Calibers 2
//Scope
Attachment_Caliber_0 18901
//Tactical
Attachment_Caliber_1 18902

Muzzle 30035

Shell 30000

BladeIDs 2
BladeID_0 0
BladeID_1 2

Use_Auto_Icon_Measurements False

Player_Damage_Bleeding Always




Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build_30

////////////////////////////////////////Balance Stats

Range 200
Ballistic_Steps 20
Ballistic_Drop 0.00098
Damage_Falloff_Multiplier 0.6
Damage_Falloff_Range 0.666
Damage_Falloff_Max_Range 1
Gunshot_Rolloff_Distance 400




Firerate 5
Action Trigger

Player_Damage 50
Player_Leg_Multiplier 0.5
Player_Arm_Multiplier 0.5
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 170
Zombie_Leg_Multiplier 0.5
Zombie_Arm_Multiplier 0.5
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 1.7

Animal_Damage 90
Animal_Leg_Multiplier 0.5
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1.7

Barricade_Damage 14
Structure_Damage 14
Vehicle_Damage 18
Resource_Damage 16
Object_Damage 18

Durability 0.1

Recoil_Min_X -2.5
Recoil_Min_Y 15.9
Recoil_Max_X 2.5
Recoil_Max_Y 17

Recover_X 0.8
Recover_Y 0.85

Shake_Min_X -0.02
Shake_Max_X 0.02

Shake_Min_Y -0.05
Shake_Max_Y -0.07

Shake_Min_Z -0.015
Shake_Max_Z -0.025

Recoil_Midair 3

Spread_Aim 0.05
Spread_Hip 0.1
Spread_Midair 3
