GUID 789707e716eb426baa5dc7cfd9dedeb6

Type Gun
Rarity Rare
Useable Gun
Slot Primary
ID 44045

Size_X 4
Size_Y 2
Size_Z 0.4

Magazine 44023

Ammo_Min 10
Ammo_Max 10

Auto

Caliber 44005

Range 100
Firerate 8
Action Trigger

Player_Damage 8
Player_Leg_Multiplier 0.7
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.2

Zombie_Damage 888
Zombie_Leg_Multiplier 1
Zombie_Arm_Multiplier 1
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 1

Animal_Damage 777
Animal_Leg_Multiplier 1
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1

Barricade_Damage 69
Structure_Damage 69
Vehicle_Damage 10
Resource_Damage 10
Object_Damage 12

Spread_Aim 0.4
Spread_Hip 0.275

Recoil_Min_X -5
Recoil_Min_Y 22
Recoil_Max_X 5
Recoil_Max_Y 28

Ballistic_Steps 5
Ballistic_Travel 20
Ballistic_Drop 0.00500069

Recover_X 0.15
Recover_Y 0.15

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.1
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.15

Muzzle 4
Shell 33

Invulnerable

Should_Delete_Empty_Magazines False

Can_Use_Underwater True

Asset_Bundle_Version 2
