GUID 8f165fbb7d4044398a748884e0097577

Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 64686

Magazine 10696
Grip 10669

Size_X 5
Size_Y 2
Size_Z 0.4

EquipAudioClip aridreborn.masterbundle:Assets/Guns_Equip/Equip_LMG.wav

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Guns/Machineguns/PS_Drachenzahn

Aiming_Movement_Speed_Multiplier 0.9

Aiming_Recoil_Multiplier 1

Aim_In_Duration 0.4

Magazine_Calibers 1
Magazine_Caliber_0 10686

Hook_Grip

Attachment_Calibers 3
Attachment_Caliber_0 18902
Attachment_Caliber_1 18905
Attachment_Caliber_2 11998

Ammo_Min 0
Ammo_Max 75

Safety
Auto
Semi

Unplace 0.1
Replace 0.47

Firerate 4
Action Trigger

Player_Damage 20
Player_Leg_Multiplier 0.4
Player_Arm_Multiplier 0.4
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.5

Zombie_Damage 60
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 60
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 2
Structure_Damage 4
Vehicle_Damage 8
Resource_Damage 99
Object_Damage 90

Durability 0.02

Spread_Aim 0.12
Spread_Hip 0.06

Recoil_Min_X -1
Recoil_Min_Y 4
Recoil_Max_X 1
Recoil_Max_Y 6

Recover_X 0.5
Recover_Y 0.25

Range 600
Ballistic_Steps 75
Ballistic_Travel 8
Ballistic_Drop 0.001

Damage_Falloff_Range 0.2
Damage_Falloff_Max_Range 0.66
Damage_Falloff_Multiplier 0.6

Shake_Min_X 0.0034
Shake_Min_Y -0.01
Shake_Min_Z -0.001
Shake_Max_X -0.0034
Shake_Max_Y -0.0035
Shake_Max_Z -0.013

Muzzle 19001

Shell 19004

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 19659
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 10686
Blueprint_1_Outputs 2
Blueprint_1_Output_0_ID 19202
Blueprint_1_Output_0_Amount 1
Blueprint_1_Output_1_ID 19262
Blueprint_1_Output_1_Amount 3
Blueprint_1_Tool 19004
Blueprint_1_Build 27

Gunshot_Rolloff_Distance 350

BladeIDs 2
BladeID_0 0
BladeID_1 2

Use_Auto_Icon_Measurements True

Recoil_Crouch 0.75
Spread_Crouch 1

Recoil_Prone 0.8
Spread_Prone 1

Player_Damage_Bleeding Always

Quality_Min 25
Quality_Max 25
