// Made in NPC Maker by BowieD
GUID 8d66b35c720d473c8acf4053d1115536
Type Vendor
ID 13035
Selling 31
Selling_0_ID 55201
Selling_0_Cost 95000
Selling_1_ID 55207
Selling_1_Cost 95000
Selling_2_ID 55210
Selling_2_Cost 95000
Selling_3_ID 55213
Selling_3_Cost 95000
Selling_4_ID 55204
Selling_4_Cost 95000
Selling_5_ID 55205
Selling_5_Cost 130000
Selling_6_ID 55202
Selling_6_Cost 130000
Selling_7_ID 55208
Selling_7_Cost 130000
Selling_8_ID 55211
Selling_8_Cost 130000
Selling_9_ID 55214
Selling_9_Cost 130000
Selling_10_ID 55206
Selling_10_Cost 180000
Selling_11_ID 55203
Selling_11_Cost 180000
Selling_11_Conditions 1
Selling_11_Condition_0_Type Quest
Selling_11_Condition_0_ID 14043
Selling_11_Condition_0_Status Completed
Selling_11_Condition_0_Logic Equal
Selling_11_Condition_0_Ignore_NPC False

Selling_12_ID 55209
Selling_12_Cost 180000
Selling_12_Conditions 1
Selling_12_Condition_0_Type Quest
Selling_12_Condition_0_ID 14043
Selling_12_Condition_0_Status Completed
Selling_12_Condition_0_Logic Equal
Selling_12_Condition_0_Ignore_NPC False

Selling_13_ID 55212
Selling_13_Cost 180000
Selling_13_Conditions 1
Selling_13_Condition_0_Type Quest
Selling_13_Condition_0_ID 14043
Selling_13_Condition_0_Status Completed
Selling_13_Condition_0_Logic Equal
Selling_13_Condition_0_Ignore_NPC False

Selling_14_ID 55215
Selling_14_Cost 180000
Selling_14_Conditions 1
Selling_14_Condition_0_Type Quest
Selling_14_Condition_0_ID 14043
Selling_14_Condition_0_Status Completed
Selling_14_Condition_0_Logic Equal
Selling_14_Condition_0_Ignore_NPC False

Selling_15_ID 55237
Selling_15_Cost 55000
Selling_16_ID 55238
Selling_16_Cost 55000
Selling_17_ID 55239
Selling_17_Cost 55000
Selling_18_ID 55240
Selling_18_Cost 55000
Selling_19_ID 55241
Selling_19_Cost 65000
Selling_20_ID 55242
Selling_20_Cost 65000
Selling_21_ID 55243
Selling_21_Cost 65000
Selling_22_ID 55244
Selling_22_Cost 65000
Selling_23_ID 55245
Selling_23_Cost 75000
Selling_24_ID 55246
Selling_24_Cost 75000
Selling_25_ID 55247
Selling_25_Cost 75000
Selling_26_ID 55248
Selling_26_Cost 75000
Selling_27_ID 55250
Selling_27_Cost 65000
Selling_28_ID 55249
Selling_28_Cost 80000
Selling_29_ID 55251
Selling_29_Cost 90000
Selling_30_ID 55252
Selling_30_Cost 90000
