GUID ea7ad2b113084c80b67e2f63b12fc29e

Type Small
Has_Clip_Prefab false
ID 58062

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 57226
Condition_0_Value True
Condition_0_Logic Equal

Interactability Quest
Interactability_Rewards 3
Interactability_Reward_0_Type Teleport
Interactability_Reward_0_Spawnpoint ChurchFinal
Interactability_Reward_1_Type Flag_Bool
Interactability_Reward_1_ID 57220
Interactability_Reward_1_Value False
Interactability_Reward_2_Type Flag_Bool
Interactability_Reward_2_ID 57221
Interactability_Reward_2_Value False

Master_Bundle_Override metro.masterbundle
Bundle_Override_Path /Objects/Quest/NPC/Final/Metro_TP_Final_FX
