GUID ba818789052c41d689b986775740d393
Type Gun
Rarity Epic
Useable Gun
Slot Tertiary
ID 51206

Size_X 2
Size_Y 2
Size_Z 0.35

// Magazine 51330

Sight 51082
Tactical 1008
Gunshot_Rolloff_Distance 400
Alert_Radius 12
Can_Aim_During_Sprint True

Ammo_Min 0
Ammo_Max 0

Semi

Caliber 51050

Range 300
Firerate 10
Action String

Player_Damage 0
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 0
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 0
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 0
Structure_Damage 0
Vehicle_Damage 0
Resource_Damage 0
Object_Damage 0

Durability 0
Quality_Min 100
Quality_Max 100

Aim_In_Duration 0.15
Spread_Aim 0.05
Spread_Hip 0.1

Recoil_Min_X 0
Recoil_Min_Y 0
Recoil_Max_X 0
Recoil_Max_Y 0

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X 0
Shake_Min_Y 0
Shake_Min_Z -0
Shake_Max_X 0
Shake_Max_Y -0
Shake_Max_Z -0

Ballistic_Travel 300
Ballistic_Steps 0


Blueprints 1
Blueprint_0_Type Tool
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 51206
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Outputs 3
// Electronics
Blueprint_0_Output_0_ID 51029
Blueprint_0_Output_0_Amount 4
// Metal Scrap
Blueprint_0_Output_1_ID 51017
Blueprint_0_Output_1_Amount 3
// Plastic Scrap
Blueprint_0_Output_2_ID 51028
Blueprint_0_Output_2_Amount 3
Blueprint_0_Build 27

Shoot_Quest_Rewards 1
Shoot_Quest_Reward_0_Type Achievement
Shoot_Quest_Reward_0_ID PBS_BombsAway
