GUID 17aa759e831d41148d42bdad09ee3d42

Type Medium
Has_Clip_Prefab false
ID 57693

Interactability Quest
Interactability_Effect 57020
Interactability_Conditions 1
Interactability_Condition_0_Type Flag_Bool
Interactability_Condition_0_ID 57100
Interactability_Condition_0_Value True
Interactability_Condition_0_Logic Equal

Interactability_Rewards 3
Interactability_Reward_0_Type Teleport
Interactability_Reward_0_Spawnpoint Sky
Interactability_Reward_1_Type Flag_Bool
Interactability_Reward_1_ID 57101
Interactability_Reward_1_Value True
Interactability_Reward_2_Type Flag_Bool
Interactability_Reward_2_ID 57164
Interactability_Reward_2_Value False
