GUID 9cc01d41a7884f87b430b0d5eaf4c972
Type Mask
Rarity Legendary
Useable Clothing
ID 10573

Size_X 2
Size_Y 2
Size_Z 0.35

Quality_Min 6
Quality_Max 9

Proof_Radiation

Blueprints 1
Blueprint_0_Type Apparel
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 19527
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 19774
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Supply_2_ID 19017
Blueprint_0_Supply_2_Amount 2
Blueprint_0_Tool 19376
Blueprint_0_Build 27

Blueprint_0_Conditions 1
Blueprint_0_Condition_0_Type Flag_Bool
Blueprint_0_Condition_0_ID 19142
Blueprint_0_Condition_0_Value True
Blueprint_0_Condition_0_Logic Equal


Actions 1

Action_0_Type Blueprint
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Source 19527
Action_0_Blueprint_0_Link
Action_0_Text Craft Filter
Action_0_Tooltip Create another Filter for your Gasmask.
