GUID 80b49384160742f7a12b4ff79c8c6a50
Type Medium
ID 45389

Interactability Quest
Interactability_Effect 7
Interactability_Conditions 1
Interactability_Condition_0_Type Currency
Interactability_Condition_0_Value 5
Interactability_Condition_0_GUID fb2b14af67b641fbbd062f8fbc40b288
Interactability_Condition_0_Logic Greater_Than_Or_Equal_To
Interactability_Condition_0_Reset
Interactability_Rewards 1
Interactability_Reward_0_Type Item
Interactability_Reward_0_ID 45261
Interactability_Reward_0_Amount 1
