// Made in NPC Maker by BowieD
GUID 0fe9cc4ff76c4a44bf9b274926bdbaed
Type Vendor
ID 13070
Selling 43
Selling_0_ID 59956
Selling_0_Cost 4000
Selling_1_ID 59218
Selling_1_Cost 15000
Selling_2_ID 59912
Selling_2_Cost 2000
Selling_3_ID 59919
Selling_3_Cost 1800
Selling_4_ID 62758
Selling_4_Cost 2200
Selling_5_ID 62782
Selling_5_Cost 2500
Selling_6_ID 62783
Selling_6_Cost 5000
Selling_7_ID 59825
Selling_7_Cost 20000
Selling_8_ID 59864
Selling_8_Cost 25000
Selling_9_ID 59920
Selling_9_Cost 3600
Selling_10_ID 59870
Selling_10_Cost 4500
Selling_11_ID 10572
Selling_11_Cost 4000
Selling_12_ID 10566
Selling_12_Cost 8000
Selling_13_ID 10567
Selling_13_Cost 8500
Selling_14_ID 59603
Selling_14_Cost 2000
Selling_15_ID 59957
Selling_15_Cost 8000
Selling_16_ID 59200
Selling_16_Cost 3000
Selling_17_ID 59602
Selling_17_Cost 4400
Selling_18_ID 59921
Selling_18_Cost 3500
Selling_19_ID 59789
Selling_19_Cost 5000
Selling_20_ID 59820
Selling_20_Cost 5000
Selling_21_ID 59893
Selling_21_Cost 5000
Selling_22_ID 10011
Selling_22_Cost 5000
Selling_23_ID 10571
Selling_23_Cost 4000
Selling_24_ID 59865
Selling_24_Cost 5000
Selling_25_ID 59910
Selling_25_Cost 4500
Selling_26_ID 59911
Selling_26_Cost 6000
Selling_27_ID 62775
Selling_27_Cost 5500
Selling_28_ID 62776
Selling_28_Cost 5500
Selling_29_ID 62789
Selling_29_Cost 2000
Selling_30_ID 62797
Selling_30_Cost 8000
Selling_31_ID 62798
Selling_31_Cost 5500
Selling_32_ID 62799
Selling_32_Cost 2200
Selling_33_ID 62800
Selling_33_Cost 2400
Selling_34_ID 62949
Selling_34_Cost 10000
Selling_35_ID 62801
Selling_35_Cost 7000
Selling_36_ID 62802
Selling_36_Cost 4000
Selling_37_ID 62806
Selling_37_Cost 5000
Selling_38_ID 62807
Selling_38_Cost 7000
Selling_39_ID 62808
Selling_39_Cost 3000
Selling_40_ID 62809
Selling_40_Cost 7000
Selling_41_ID 62969
Selling_41_Cost 8500
Selling_42_ID 62945
Selling_42_Cost 4500
Disable_Sorting
