// Made in NPC Maker by BowieD
GUID 9a7af6f6636548edbfce6764f1ebd42d
Type Quest
ID 14025
Conditions 1
Condition_0_Type Kills_Zombie
Condition_0_ID 0
Condition_0_Value 10
Condition_0_Spawn_Quantity 1
Condition_0_Nav 24
Condition_0_Radius 512
Condition_0_MinRadius 0
Condition_0_Zombie Normal
Condition_0_Reset 

Rewards 7
Reward_0_Type Experience
Reward_0_Value 800

Reward_1_Type Item
Reward_1_ID 44688
Reward_1_Amount 0
Reward_1_Auto_Equip False

Reward_2_Type Item
Reward_2_ID 59535
Reward_2_Amount 0
Reward_2_Auto_Equip False

Reward_3_Type Item
Reward_3_ID 48701
Reward_3_Amount 0
Reward_3_Auto_Equip False

Reward_4_Type Item
Reward_4_ID 62535
Reward_4_Amount 0
Reward_4_Auto_Equip False

Reward_5_Type Item
Reward_5_ID 52457
Reward_5_Amount 0
Reward_5_Auto_Equip False

Reward_6_Type Flag_Short
Reward_6_ID 54301
Reward_6_Value 60
Reward_6_Modification Increment

