GUID 68a4dabf1c0b4cb6986e69cecfda2dc5
Type Gun
Rarity Uncommon
Useable Gun
Requires_NonZero_Attachment_Caliber True
Slot Primary
ID 30635

Instantiated_Item_Name_Override 25637
Use_Auto_Stat_Descriptions false

EquipAudioClip classicweapons.masterbundle:Assets/Guns_Equip/Equip_Sniper.wav

Size_X 5
Size_Y 2
Size_Z 0.3

Magazine 63407

Hook_Sight

Ammo_Min 6
Ammo_Max 10

Safety
Semi

Magazine_Calibers 1
Magazine_Caliber_0 19407

Attachment_Calibers 1
//Scope
Attachment_Caliber_0 25002

Muzzle 30037

Shell 30000

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 1

BladeIDs 2
BladeID_0 0
BladeID_1 2

Use_Auto_Icon_Measurements False

Player_Damage_Bleeding Always




////////////////////////////////////////Balance Stats

Range 100
Ballistic_Steps 60
Ballistic_Drop 0.0011
Damage_Falloff_Multiplier 0.6
Damage_Falloff_Range 0.666
Damage_Falloff_Max_Range 1
Gunshot_Rolloff_Distance 1200

Firerate 2
Action Bolt

Player_Damage 32
Player_Leg_Multiplier 0.5
Player_Arm_Multiplier 0.5
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.2

Zombie_Damage 85
Zombie_Leg_Multiplier 0.5
Zombie_Arm_Multiplier 0.5
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 1.7

Animal_Damage 45
Animal_Leg_Multiplier 0.5
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1.7

Barricade_Damage 10
Structure_Damage 10
Vehicle_Damage 8
Resource_Damage 10
Object_Damage 15

Durability 0.5

Recoil_Min_X -2
Recoil_Min_Y 12
Recoil_Max_X 2
Recoil_Max_Y 16

Recover_X 0.65
Recover_Y 0.75

Shake_Min_X -0.01
Shake_Max_X 0.01

Shake_Min_Y -0.015
Shake_Max_Y -0.02

Shake_Min_Z -0.02
Shake_Max_Z -0.025

Recoil_Midair 3

Spread_Aim 0.02
Spread_Hip 0.04
Spread_Midair 3
