// Made in NPC Maker by BowieD
GUID ccdd0bdf9e3e449aac6c894a6622d28e
Type Dialogue
ID 12200
Messages 1
Message_0_Pages 1
Responses 7
Response_0_Conditions 1
Response_0_Condition_0_Type Flag_Bool
Response_0_Condition_0_ID 55445
Response_0_Condition_0_Value True
Response_0_Condition_0_Allow_Unset 
Response_0_Condition_0_Logic Equal

Response_2_Conditions 1
Response_2_Condition_0_Type Flag_Bool
Response_2_Condition_0_ID 55445
Response_2_Condition_0_Value True
Response_2_Condition_0_Allow_Unset 
Response_2_Condition_0_Logic Equal

Response_3_Conditions 1
Response_3_Condition_0_Type Flag_Bool
Response_3_Condition_0_ID 55445
Response_3_Condition_0_Value True
Response_3_Condition_0_Allow_Unset 
Response_3_Condition_0_Logic Equal

Response_4_Conditions 1
Response_4_Condition_0_Type Flag_Bool
Response_4_Condition_0_ID 55445
Response_4_Condition_0_Value True
Response_4_Condition_0_Allow_Unset 
Response_4_Condition_0_Logic Equal

Response_5_Conditions 1
Response_5_Condition_0_Type Flag_Bool
Response_5_Condition_0_ID 55445
Response_5_Condition_0_Value True
Response_5_Condition_0_Allow_Unset 
Response_5_Condition_0_Logic Equal

