GUID 7c269eed95b84c83897c9fb00248b608
Type Small
ID 51000

Conditions 2
Condition_0_Type Flag_Bool
Condition_0_ID 52559
Condition_0_Value False
Condition_0_Logic Equal
Condition_0_Allow_Unset
Condition_1_Type Quest
Condition_1_ID 52581
Condition_1_Status Active
Condition_1_Logic Equal

Interactability Note
Interactability_Hint Use
Interactability_Text_Lines 1
Interactability_Conditions 1
Interactability_Condition_0_Type Item
Interactability_Condition_0_ID 51253
Interactability_Condition_0_Amount 1
Interactability_Condition_0_Logic Greater_Than_Or_Equal_To
Interactability_Rewards 2
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 52559
Interactability_Reward_0_Value True
Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 52582
Interactability_Reward_1_Value 1
Interactability_Reward_1_Modification Increment

Has_Clip_Prefab false

Master_Bundle_Override pbs.masterbundle
Bundle_Override_Path /Objects/Small/EODStuffs/ClassifedDocs
