GUID cc1677f60c8a4d1a9975e68838f8af75
Type Gun
Rarity Uncommon
Useable Gun
Slot Primary
ID 51218

Size_X 5
Size_Y 2
Size_Z 0.35
Backward
Magazine 51917

Shell 0

Ammo_Min 1
Ammo_Max 1


Semi

Sight

Caliber 51015

Range 500
Firerate 1
Action Trigger

Player_Damage 50
Player_Leg_Multiplier 0.75
Player_Arm_Multiplier 0.75
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.75

Zombie_Damage 150
Zombie_Leg_Multiplier 0.75
Zombie_Arm_Multiplier 0.75
Zombie_Spine_Multiplier 0.9
Zombie_Skull_Multiplier 2

Animal_Damage 150
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 10
Structure_Damage 10
Vehicle_Damage 100
Resource_Damage 200
Object_Damage 200

// Invulnerable

Durability 0
Quality_Min 100
Quality_Max 100

Aim_In_Duration 0.15

Recoil_Min_X 2
Recoil_Max_X 0

Recoil_Min_Y 8
Recoil_Max_Y 10

Spread_Aim 0.05
Spread_Hip 0.2

Remove 0
Replace 0

Recover_X 0.1
Recover_Y 0.1

Shake_Min_X .01
Shake_Min_Y 0
Shake_Min_Z -.03
Shake_Max_X -.01
Shake_Max_Y 0
Shake_Max_Z -.05

Muzzle 

Blueprints 1

Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27
