GUID 34df77ab2b564a18a108593e12cacb1c

Type Food
Useable Consumeable
ID 41636

Size_X 2
Size_Y 2
Size_Z 0.37

Food 35
Use_Auto_Stat_Descriptions false
InventoryAudio Sounds/Inventory/BagRustle/Bag_Rustle.asset
ConsumeAudioClip Sounds/Eating_3.ogg
Quality_Min 40
Quality_Max 60

Quest_Rewards 4
Quest_Reward_0_Type Player_Life_Stamina
Quest_Reward_0_Value 15
Quest_Reward_0_GrantDelaySeconds 1

Quest_Reward_1_Type Player_Life_Stamina
Quest_Reward_1_Value 15
Quest_Reward_1_GrantDelaySeconds 2

Quest_Reward_2_Type Player_Life_Stamina
Quest_Reward_2_Value 15
Quest_Reward_2_GrantDelaySeconds 3

Quest_Reward_3_Type Player_Life_Water
Quest_Reward_3_Value -30
