GUID c67ae20f7f5a4767a90b69d63d056636

Type Gun
Rarity Epic
Useable Gun
Slot Secondary
ID 63895
EquipAudioClip classicweapons.masterbundle:Assets/Guns_Equip/Equip_P90.wav
Size_X 3
Size_Y 2
Size_Z 0.37

Magazine 63891
Grip 19750
Sight 19297

Unplace 0.1
Replace 0.55

Ammo_Min 11
Ammo_Max 50


Semi
Auto
Safety

Hook_Sight

Attachment_Calibers 2
Attachment_Caliber_0 18901
Attachment_Caliber_1 18902

Magazine_Calibers 1
Magazine_Caliber_0 19891

Firerate 3
Action Trigger

Player_Damage 20
Player_Leg_Multiplier 0.4
Player_Arm_Multiplier 0.4
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 80
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 80
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 15
Vehicle_Damage 20
Resource_Damage 25
Object_Damage 40

Durability 0.15

Spread_Aim 0.2
Spread_Hip 0.1

Recoil_Min_X -0.8
Recoil_Min_Y 1
Recoil_Max_X 0.8
Recoil_Max_Y 3.25

Recover_X 0.15
Recover_Y 0.15

Shake_Min_X 0.004
Shake_Min_Y -0.003
Shake_Min_Z -0.01
Shake_Max_X -0.004
Shake_Max_Y -0.003
Shake_Max_Z -0.01

Range 190
Ballistic_Steps 75
Ballistic_Travel 8
Ballistic_Drop 0.002

Damage_Falloff_Range 0.05
Damage_Falloff_Max_Range 0.25
Damage_Falloff_Multiplier 0.6

Muzzle 19000

Shell 19003

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27


BladeIDs 2
BladeID_0 0
BladeID_1 2

Use_Auto_Icon_Measurements False

Recoil_Crouch 0.8
Recoil_Prone 1

Spread_Prone 1
Spread_Crouch 1


Quality_Min 60
Quality_Max 75

Gunshot_Rolloff_Distance 600
