// Made in NPC Maker by BowieD
GUID b14f125fcada404d93d2dfecf95024d2
Type Vendor
ID 13034
Selling 73
Selling_0_ID 44688
Selling_0_Cost 12000
Selling_1_ID 44689
Selling_1_Cost 12000
Selling_2_ID 44690
Selling_2_Cost 12000
Selling_3_ID 44691
Selling_3_Cost 12000
Selling_4_ID 59337
Selling_4_Cost 12000
Selling_5_ID 59338
Selling_5_Cost 12000
Selling_6_ID 59339
Selling_6_Cost 12000
Selling_7_ID 59974
Selling_7_Cost 12000
Selling_8_ID 44687
Selling_8_Cost 12000
Selling_9_ID 59150
Selling_9_Cost 12000
Selling_10_ID 59091
Selling_10_Cost 12000
Selling_11_ID 59092
Selling_11_Cost 12000
Selling_12_ID 59148
Selling_12_Cost 16000
Selling_13_ID 59090
Selling_13_Cost 16000
Selling_14_ID 59334
Selling_14_Cost 16000
Selling_15_ID 59335
Selling_15_Cost 16000
Selling_16_ID 59336
Selling_16_Cost 16000
Selling_17_ID 54064
Selling_17_Cost 16000
Selling_18_ID 54088
Selling_18_Cost 16000
Selling_19_ID 54089
Selling_19_Cost 16000
Selling_20_ID 54090
Selling_20_Cost 16000
Selling_21_ID 54091
Selling_21_Cost 16000
Selling_22_ID 54066
Selling_22_Cost 29000
Selling_22_Conditions 1
Selling_22_Condition_0_Type Quest
Selling_22_Condition_0_ID 14028
Selling_22_Condition_0_Status Completed
Selling_22_Condition_0_Logic Equal
Selling_22_Condition_0_Ignore_NPC False

Selling_23_ID 54021
Selling_23_Cost 29000
Selling_23_Conditions 1
Selling_23_Condition_0_Type Quest
Selling_23_Condition_0_ID 14028
Selling_23_Condition_0_Status Completed
Selling_23_Condition_0_Logic Equal
Selling_23_Condition_0_Ignore_NPC False

Selling_24_ID 54022
Selling_24_Cost 29000
Selling_24_Conditions 1
Selling_24_Condition_0_Type Quest
Selling_24_Condition_0_ID 14028
Selling_24_Condition_0_Status Completed
Selling_24_Condition_0_Logic Equal
Selling_24_Condition_0_Ignore_NPC False

Selling_25_ID 54023
Selling_25_Cost 29000
Selling_25_Conditions 1
Selling_25_Condition_0_Type Quest
Selling_25_Condition_0_ID 14028
Selling_25_Condition_0_Status Completed
Selling_25_Condition_0_Logic Equal
Selling_25_Condition_0_Ignore_NPC False

Selling_26_ID 54038
