GUID a6c9645a6ea145528bf170a86b76a1d7

Type Gun
Rarity Rare
Useable Gun
Slot Primary
ID 44022

Size_X 4
Size_Y 2
Size_Z 0.4

Magazine 44023

Ammo_Min 10
Ammo_Max 10

Semi

Caliber 44005

Range 100
Firerate 10
Action Break

Player_Damage 19
Player_Leg_Multiplier 0.7
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.2

Zombie_Damage 500
Zombie_Leg_Multiplier 1
Zombie_Arm_Multiplier 1
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 1

Animal_Damage 400
Animal_Leg_Multiplier 1
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1

Barricade_Damage 10
Structure_Damage 7
Vehicle_Damage 14
Resource_Damage 10
Object_Damage 12

Spread_Aim 0.3
Spread_Hip 0.2

Recoil_Min_X -10
Recoil_Min_Y 119
Recoil_Max_X 10
Recoil_Max_Y 125

Ballistic_Steps 5
Ballistic_Travel 20
Ballistic_Drop 0.0050001

Recover_X 0.3
Recover_Y 0.3

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Invulnerable

Should_Delete_Empty_Magazines False

Fire_Delay_Seconds 0.1

Ammo_Per_Shot 2

Can_Use_Underwater True

Asset_Bundle_Version 2
