GUID 4632ce6f04dd4f16b56afe7c2fb0da03
Type Magazine
Rarity Epic
ID 31158

Size_X 2
Size_Y 2
Size_Z 0.19

Amount 100
Count_Min 5
Count_Max 13

Calibers 1
Caliber_0 25045

Tracer 30054

Ballistic_Damage_Multiplier 0.5

Range 5
Player_Damage 5
Zombie_Damage 10
Animal_Damage 10
Barricade_Damage 5
Structure_Damage 5
Vehicle_Damage 10
Resource_Damage 30
Object_Damage 20
Explosion 30011
Explosive

Blueprints 10
//Zolash Frag Mag
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 31157
Blueprint_0_Build 30
//Frag Ammo Box
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 31150
Blueprint_1_Build 30
//AR Frag Mag
Blueprint_2_Type Ammo
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 31151
Blueprint_2_Build 30
//Chainsaw Drum
Blueprint_3_Type Ammo
Blueprint_3_Supplies 1
Blueprint_3_Supply_0_ID 31152
Blueprint_3_Build 30
//Drachenzahn Frag Mag
Blueprint_4_Type Ammo
Blueprint_4_Supplies 1
Blueprint_4_Supply_0_ID 31153
Blueprint_4_Build 30
//Honey Bee Frag Mag
Blueprint_5_Type Ammo
Blueprint_5_Supplies 1
Blueprint_5_Supply_0_ID 31154
Blueprint_5_Build 30
//K249 Frag Box
Blueprint_6_Type Ammo
Blueprint_6_Supplies 1
Blueprint_6_Supply_0_ID 31155
Blueprint_6_Build 30
//MKP Frag Box
Blueprint_7_Type Ammo
Blueprint_7_Supplies 1
Blueprint_7_Supply_0_ID 31156
Blueprint_7_Build 30
//Zolash Frag Mag
Blueprint_8_Type Ammo
Blueprint_8_Supplies 1
Blueprint_8_Supply_0_ID 31157
Blueprint_8_Build 30
//M90 Frag Mag
Blueprint_9_Type Ammo
Blueprint_9_Supplies 1
Blueprint_9_Supply_0_ID 31158
Blueprint_9_Build 30
