GUID 9a45bd6f7e3e4dabb68cea21ebd663c0

Type Barricade
Rarity Epic
Useable Barricade
Has_Clip_Prefab False
Build Barricade
ID 22504

PlacementPreviewPrefab Items/Supplies/PS_Raw_Adamantine_Stack/Placement.prefab

SalvageItem c28913cfd46944c793438a815c787ad2
Min_Items_Dropped_On_Destroy 1
Max_Items_Dropped_On_Destroy 1
Item_Dropped_On_Destroy f6d767a0c4344770b99c63f1e79d19f3

Size_X 2
Size_Y 2
Size_Z 0.5

Health 40
Range 4
Radius 0.22
Offset 0.2675

Explosion 36
Vulnerable

PlacementAudioClip Sounds/MetalPlacement.mp3

Salvage_Duration_Multiplier 0.2

Bypass_Pickup_Ownership True

Blueprints 1
Blueprint_0_Type Gear
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 22504
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 22501
Blueprint_0_Output_0_Amount 6
Blueprint_0_Build 32

Actions 1

Action_0_Type Blueprint
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Text Разобрать
Action_0_Tooltip Uncompactify.
