// Made in NPC Maker by BowieD
GUID f5c47a455a2d4d95b02bfe0c9eeae790
Type Dialogue
ID 12136
Messages 1
Message_0_Pages 1
Responses 151
Response_0_Dialogue 12136
Response_0_Quest 14900
Response_0_Conditions 1
Response_0_Condition_0_Type Quest
Response_0_Condition_0_ID 14900
Response_0_Condition_0_Status None
Response_0_Condition_0_Logic Equal
Response_0_Condition_0_Ignore_NPC False

Response_0_Rewards 1
Response_0_Reward_0_Type Quest
Response_0_Reward_0_ID 14900

Response_1_Dialogue 12136
Response_1_Quest 14900
Response_1_Conditions 1
Response_1_Condition_0_Type Quest
Response_1_Condition_0_ID 14900
Response_1_Condition_0_Status Ready
Response_1_Condition_0_Logic Equal
Response_1_Condition_0_Ignore_NPC False
Response_1_Condition_0_Reset 

Response_2_Dialogue 12136
Response_2_Quest 14900
Response_2_Conditions 2
Response_2_Condition_0_Type Quest
Response_2_Condition_0_ID 14900
Response_2_Condition_0_Status Completed
Response_2_Condition_0_Logic Equal
Response_2_Condition_0_Ignore_NPC False

Response_2_Condition_1_Type Flag_Bool
Response_2_Condition_1_ID 18000
Response_2_Condition_1_Value False
Response_2_Condition_1_Logic Equal

Response_2_Rewards 1
Response_2_Reward_0_Type Quest
Response_2_Reward_0_ID 14900

Response_3_Dialogue 12136
Response_3_Quest 14901
Response_3_Conditions 1
Response_3_Condition_0_Type Quest
Response_3_Condition_0_ID 14901
Response_3_Condition_0_Status None
Response_3_Condition_0_Logic Equal
Response_3_Condition_0_Ignore_NPC False

Response_3_Rewards 1
Response_3_Reward_0_Type Quest
Response_3_Reward_0_ID 14901

Response_4_Dialogue 12136
Response_4_Quest 14901
Response_4_Conditions 1
Response_4_Condition_0_Type Quest
Response_4_Condition_0_ID 14901
Response_4_Condition_0_Status Ready
Response_4_Condition_0_Logic Equal
Response_4_Condition_0_Ignore_NPC False
Response_4_Condition_0_Reset 

Response_5_Dialogue 12136
Response_5_Quest 14901
Response_5_Conditions 2
Response_5_Condition_0_Type Quest
Response_5_Condition_0_ID 14901
Response_5_Condition_0_Status Completed
Response_5_Condition_0_Logic Equal
Response_5_Condition_0_Ignore_NPC False

Response_5_Condition_1_Type Flag_Bool
Response_5_Condition_1_ID 18001
Response_5_Condition_1_Value False
Response_5_Condition_1_Logic Equal

Response_5_Rewards 1
Response_5_Reward_0_Type Quest
Response_5_Reward_0_ID 14901

Response_6_Dialogue 12136
Response_6_Quest 14902
Response_6_Conditions 1
Response_6_Condition_0_Type Quest
Response_6_Condition_0_ID 14902
Response_6_Condition_0_Status None
Response_6_Condition_0_Logic Equal
Response_6_Condition_0_Ignore_NPC False

Response_6_Rewards 1
