// Made in NPC Maker by BowieD
GUID 05d23c8c098b426baaf7403a135b75a8
Type Vendor
ID 13023
Buying 30
Buying_0_ID 59248
Buying_0_Cost 60
Buying_1_ID 59262
Buying_1_Cost 120
Buying_2_ID 59662
Buying_2_Cost 110
Buying_3_ID 59605
Buying_3_Cost 140
Buying_4_ID 59342
Buying_4_Cost 190
Buying_5_ID 59619
Buying_5_Cost 180
Buying_6_ID 59514
Buying_6_Cost 240
Buying_7_ID 59659
Buying_7_Cost 120
Buying_8_ID 59618
Buying_8_Cost 160
Buying_9_ID 59774
Buying_9_Cost 800
Buying_10_ID 59377
Buying_10_Cost 100
Buying_11_ID 59680
Buying_11_Cost 400
Buying_12_ID 59816
Buying_12_Cost 160
Buying_13_ID 59378
Buying_13_Cost 250
Buying_14_ID 59417
Buying_14_Cost 120
Buying_15_ID 59620
Buying_15_Cost 390
Buying_16_ID 59024
Buying_16_Cost 180
Buying_17_ID 59623
Buying_17_Cost 200
Buying_18_ID 59036
Buying_18_Cost 140
Buying_19_ID 59613
Buying_19_Cost 310
Buying_20_ID 59198
Buying_20_Cost 180
Buying_21_ID 59622
Buying_21_Cost 600
Buying_22_ID 59688
Buying_22_Cost 280
Buying_23_ID 19687
Buying_23_Cost 240
Buying_24_ID 59350
Buying_24_Cost 350
Buying_25_ID 59351
Buying_25_Cost 1000
Buying_26_ID 59352
Buying_26_Cost 1200
Buying_27_ID 59725
Buying_27_Cost 1000
Buying_28_ID 59512
Buying_28_Cost 1600
Buying_29_ID 59653
Buying_29_Cost 140
