GUID f0d2a901df6145f981663a5bf78c3069

Type Spawn
ID 41442

Tables 66
Table_0_Asset_ID 41485
Table_0_Weight 10
Table_1_Asset_ID 41486
Table_1_Weight 10
Table_2_Asset_ID 41488
Table_2_Weight 10
Table_3_Asset_ID 41489
Table_3_Weight 10
Table_4_Asset_ID 41475
Table_4_Weight 40
Table_5_Asset_ID 41476
Table_5_Weight 40
Table_6_Asset_ID 41477
Table_6_Weight 40
Table_7_Asset_ID 41478
Table_7_Weight 40
Table_8_Asset_ID 41471
Table_8_Weight 30
Table_9_Asset_ID 41472
Table_9_Weight 30
Table_10_Asset_ID 41473
Table_10_Weight 30
Table_11_Asset_ID 41474
Table_11_Weight 30
Table_12_Asset_ID 41463
Table_12_Weight 40
Table_13_Asset_ID 41464
Table_13_Weight 40
Table_14_Asset_ID 41465
Table_14_Weight 40
Table_15_Asset_ID 41466
Table_15_Weight 40
Table_16_Asset_ID 41459
Table_16_Weight 30
Table_17_Asset_ID 41460
Table_17_Weight 30
Table_18_Asset_ID 41461
Table_18_Weight 30
Table_19_Asset_ID 41462
Table_19_Weight 30
Table_20_Asset_ID 41467
Table_20_Weight 20
Table_21_Asset_ID 41468
Table_21_Weight 20
Table_22_Asset_ID 41469
Table_22_Weight 20
Table_23_Asset_ID 41469
Table_23_Weight 20
Table_24_Asset_ID 41470
Table_24_Weight 30
Table_25_Asset_ID 41502
Table_25_Weight 30
Table_26_Asset_ID 41503
Table_26_Weight 30
Table_27_Asset_ID 41504
Table_27_Weight 30
Table_28_Asset_ID 41505
Table_28_Weight 30
Table_29_Asset_ID 41498
Table_29_Weight 40
Table_30_Asset_ID 41499
Table_30_Weight 40
Table_31_Asset_ID 41500
Table_31_Weight 40
Table_32_Asset_ID 41501
Table_32_Weight 40
Table_33_Asset_ID 41529
Table_33_Weight 30
Table_34_Asset_ID 41530
Table_34_Weight 30
Table_35_Asset_ID 41531
Table_35_Weight 30
Table_36_Asset_ID 41532
Table_36_Weight 30
Table_37_Asset_ID 41532
Table_37_Weight 30
Table_38_Asset_ID 41522
Table_38_Weight 30
Table_39_Asset_ID 41523
Table_39_Weight 30
Table_40_Asset_ID 41524
Table_40_Weight 30
Table_41_Asset_ID 41546
Table_41_Weight 40
Table_42_Asset_ID 41547
Table_42_Weight 40
Table_43_Asset_ID 41548
Table_43_Weight 40
Table_44_Asset_ID 41549
Table_44_Weight 40
Table_45_Asset_ID 41612
Table_45_Weight 30
Table_46_Asset_ID 41615
Table_46_Weight 30
Table_47_Asset_ID 41616
Table_47_Weight 30
Table_48_Asset_ID 41617
Table_48_Weight 30
Table_49_Asset_ID 41533
Table_49_Weight 20
Table_50_Asset_ID 41534
Table_50_Weight 20
Table_51_Asset_ID 41535
Table_51_Weight 20
Table_52_Asset_ID 41541
Table_52_Weight 10
Table_53_Asset_ID 41542
Table_53_Weight 10
Table_54_Asset_ID 41543
Table_54_Weight 10
Table_55_Asset_ID 41544
Table_55_Weight 10
Table_56_Asset_ID 41536
Table_56_Weight 20
Table_57_Asset_ID 41537
Table_57_Weight 20
Table_58_Asset_ID 41538
Table_58_Weight 20
Table_59_Asset_ID 41539
Table_59_Weight 20
Table_60_Asset_ID 41540
Table_60_Weight 20
Table_61_Asset_ID 41587
Table_61_Weight 40
Table_62_Asset_ID 41588
Table_62_Weight 40
Table_63_Asset_ID 41589
Table_63_Weight 40
Table_64_Asset_ID 41590
Table_64_Weight 40
Table_65_Asset_ID 41591
Table_65_Weight 40
