GUID aab0e9ec13c142c38a67847d68ca92c8

Type Storage
Rarity Epic
Useable Barricade
Build Storage
ID 57263

Size_X 2
Size_Y 2
Size_Z 0.4

Health 430
Range 4
Radius 0.45
Offset 0.75

Storage_X 6
Storage_Y 6

Locked

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 6
Blueprint_0_Supply_1_ID 285
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 27
Blueprint_0_Map Elver

Should_Close_When_Outside_Range true

Asset_Bundle_Version 3
