GUID e9fb99f34a274876a85c4c9c309c5899

Type Melee
Useable Melee
Slot Any
Rarity Uncommon
ID 36410

Size_X 2
Size_Y 3

Range 4
Strength 1.5
Stamina 0

BladeIDs 2
BladeID_0 36
BladeID_1 0

Player_Damage 50
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 50
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 50
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 10
Vehicle_Damage 25
Resource_Damage 400
Object_Damage 400

Durability 0



AttackAudioClip core.masterbundle:Sounds/MeleeAttack_01.mp3
