// Made in NPC Maker by BowieD
GUID 75278a07ef4c4f0d96d2c2040e24748c
Type Vendor
ID 13080
Buying 18
Buying_0_ID 59137
Buying_0_Cost 60
Buying_1_ID 59139
Buying_1_Cost 140
Buying_2_ID 59142
Buying_2_Cost 210
Buying_3_ID 51497
Buying_3_Cost 160
Buying_4_ID 59138
Buying_4_Cost 290
Buying_5_ID 59140
Buying_5_Cost 230
Buying_6_ID 51494
Buying_6_Cost 70
Buying_7_ID 51495
Buying_7_Cost 150
Buying_8_ID 6606
Buying_8_Cost 250
Buying_9_ID 6679
Buying_9_Cost 180
Buying_10_ID 51496
Buying_10_Cost 190
Buying_11_ID 59135
Buying_11_Cost 250
Buying_12_ID 59141
Buying_12_Cost 320
Buying_13_ID 6642
Buying_13_Cost 400
Buying_14_ID 6630
Buying_14_Cost 450
Buying_15_ID 6628
Buying_15_Cost 580
Buying_16_ID 59136
Buying_16_Cost 800
Buying_17_ID 62970
Buying_17_Cost 1488
Buying_17_Conditions 1
Buying_17_Condition_0_Type Item
Buying_17_Condition_0_ID 62970
Buying_17_Condition_0_Amount 1

Selling 3
Selling_0_ID 49439
Selling_0_Cost 5800
Selling_1_ID 49440
Selling_1_Cost 18000
Selling_2_ID 49441
Selling_2_Cost 30000
Disable_Sorting
