GUID a76978d133614ba3a9fccc95e4e139ac

Type Medical
Rarity Rare
Useable Consumeable
ID 41625

Size_X 1
Size_Y 2
Size_Z 0.4

Aid
Virus 10

InventoryAudio Sounds/Inventory/Default/Default.asset
Use_Auto_Stat_Descriptions False

Quest_Rewards 4
Quest_Reward_0_Type Player_Life_Stamina
Quest_Reward_0_Value 40
Quest_Reward_0_GrantDelaySeconds 2

Quest_Reward_1_Type Player_Life_Stamina
Quest_Reward_1_Value 40
Quest_Reward_1_GrantDelaySeconds 4

Quest_Reward_2_Type Player_Life_Stamina
Quest_Reward_2_Value 40
Quest_Reward_2_GrantDelaySeconds 6

Quest_Reward_3_Type Player_Life_Stamina
Quest_Reward_3_Value 40
Quest_Reward_3_GrantDelaySeconds 8
