GUID d21a7f925b96498bb0241bdb23e1e295
Type Vest
Rarity Common
Useable Clothing
ID 37316

Size_X 3
Size_Y 3
Size_Z 0.5

Width 5
Height 2

Armor 0.6
Armor_Explosion 0.85
Movement_Speed_Multiplier 0.9

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 37354
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27
Blueprint_1_State_Transfer
Blueprint_1_Type Apparel
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 37316
Blueprint_1_Outputs 2
Blueprint_1_Output_0_ID 37315
Blueprint_1_Output_1_ID 37378
Blueprint_1_Build 27

Actions 1
Action_0_Type Blueprint
Action_0_Source 37316
Action_0_Blueprints 0
Action_0_Blueprint_0_Index 1
Action_0_Text Remove Bags
Action_0_Tooltip Seperating bags from body armor.
