GUID d930acebe1064862b7200e1ad7626fb9
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 10517

EquipAudioClip aridreborn.masterbundle:Assets/Guns_Equip/Equip_AMR.wav

Size_X 5
Size_Y 2
Size_Z 0.425

Equipable_Movement_Speed_Multiplier 0.9

Sight 19780
Magazine 10518

Hook_Sight

Ammo_Min 10
Ammo_Max 30

Safety
Auto
Semi

Magazine_Calibers 1
Magazine_Caliber_0 18829

Attachment_Calibers 1
//Scope
Attachment_Caliber_0 18911

Muzzle 19058

Shell 19018

BladeIDs 2
BladeID_0 0
BladeID_1 2

Use_Auto_Icon_Measurements True

Player_Damage_Bleeding Always

Quality_Min 5
Quality_Max 20

Blueprints 2

//Repair
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 19659
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27

//Salvage
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 10517
Blueprint_1_Outputs 1
//Supply (High Tier Gun Parts)
Blueprint_1_Output_0_ID 19262
Blueprint_1_Output_0_Amount 5
Blueprint_1_Tool 19004
Blueprint_1_Build 27

Actions 1

Action_0_Type Blueprint
Action_0_Blueprint_0_Index 0
Action_0_Blueprint_0_Link
Action_0_Text Repair
Action_0_Tooltip Repair gun.

////////////////////////////////////////Balance Stats

Range 500
Ballistic_Steps 50
Ballistic_Drop 0.00055
Damage_Falloff_Multiplier 0.6
Damage_Falloff_Range 0.666
Damage_Falloff_Max_Range 1
Gunshot_Rolloff_Distance 1000 

Can_Ever_Jam
Jam_Quality_Threshold 0.5
Jam_Max_Chance 0.1
Unjam_Chamber_Anim Jam

Aim_In_Duration 0.5

Firerate 10
Action Trigger

Player_Damage 39
Player_Leg_Multiplier 0.5
Player_Arm_Multiplier 0.5
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.9

Zombie_Damage 78
Zombie_Leg_Multiplier 0.5
Zombie_Arm_Multiplier 0.5
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 1.9

Animal_Damage 78
Animal_Leg_Multiplier 0.5
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1.9

Barricade_Damage 39
Structure_Damage 39
Vehicle_Damage 39
Resource_Damage 78
Object_Damage 78

Durability 0.1

Recoil_Min_X -6.2
Recoil_Min_Y 18
Recoil_Max_X 6.2
Recoil_Max_Y 21

Recover_X 0.95
Recover_Y 0.95

Shake_Min_X -0.01
Shake_Min_Y -0.005
Shake_Min_Z -0.04
Shake_Max_X 0.01
Shake_Max_Y 0.01
Shake_Max_Z -0.08

Recoil_Midair 3

Spread_Aim 0.05
Spread_Hip 0.10
Spread_Midair 3
