GUID 63171d252f8942c28a21f74e2f02e8d6

Type Gun
Rarity Mythical
Useable Gun
Slot Primary
ID 63832

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Guns/PS_Anti_Materiel_0

Unplace 0.11
Replace 0.65

Aim_In_Duration 0.5

Equipable_Movement_Speed_Multiplier 0.8

Size_X 5
Size_Y 3
Size_Z 0.55

Sight 19393
Magazine 63834
Grip 10561

Hook_Grip
Hook_Sight
Hook_Tactical

Ammo_Min 10
Ammo_Max 10

Safety
Semi

Attachment_Calibers 3
Attachment_Caliber_0 18904
Attachment_Caliber_1 18902
Attachment_Caliber_2 20904

Magazine_Calibers 1
Magazine_Caliber_0 19834

Firerate 15
Action Trigger

Player_Damage 120
Player_Leg_Multiplier 0.33
Player_Arm_Multiplier 0.33
Player_Spine_Multiplier 1
Player_Skull_Multiplier 2

Zombie_Damage 120
Zombie_Leg_Multiplier 0.33
Zombie_Arm_Multiplier 0.33
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 2

Animal_Damage 120
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 2

Instakill_Headshots True

Barricade_Damage 100
Structure_Damage 100
Vehicle_Damage 900
Resource_Damage 444
Object_Damage 333

Durability 0.18

Invulnerable

Spread_Aim 0.002
Spread_Hip 0.32

Range 600
Ballistic_Steps 40
Ballistic_Travel 15
Ballistic_Drop 0.00075

Recoil_Min_X -5
Recoil_Min_Y 6
Recoil_Max_X 5
Recoil_Max_Y 10

Recover_X -0.4
Recover_Y -0.4

Shake_Min_X 0.005
Shake_Min_Y 0.01
Shake_Min_Z -0.03
Shake_Max_X -0.005
Shake_Max_Y 0.02
Shake_Max_Z -0.06

Muzzle 19018

Shell 19005

Gunshot_Rolloff_Distance 1700

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 19619
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 19832
Blueprint_1_Product 19262
Blueprint_1_Products 4
Blueprint_1_Tool 19004
Blueprint_1_Build 27

BladeIDs 2
BladeID_0 0
BladeID_1 2

Use_Auto_Icon_Measurements 

Recoil_Crouch 0.8
Recoil_Prone 0.8

Spread_Prone 1
Spread_Crouch 1

Player_Damage_Bleeding Always

Quality_Min 5
Quality_Max 15
