GUID f6fcbe655a2349fca15e9e3d72864532

Type Food
Useable Consumeable
ID 41639

Size_X 2
Size_Y 1
Size_Z 0.17

Food 25
Energy 20
Use_Auto_Stat_Descriptions false
InventoryAudio Sounds/Inventory/BagRustle/Bag_Rustle.asset
ConsumeAudioClip Sounds/Eating_1.ogg
Quality_Min 50
Quality_Max 60

Quest_Rewards 3
Quest_Reward_0_Type Player_Life_Stamina
Quest_Reward_0_Value 10
Quest_Reward_0_GrantDelaySeconds 1

Quest_Reward_1_Type Player_Life_Stamina
Quest_Reward_1_Value 10
Quest_Reward_1_GrantDelaySeconds 2

Quest_Reward_2_Type Player_Life_Stamina
Quest_Reward_2_Value 10
Quest_Reward_2_GrantDelaySeconds 3
