GUID c021680711cf4400b3a82b8e655d7aca
Type Vest
Rarity Common
Useable Clothing
ID 37319

Size_X 3
Size_Y 3
Size_Z 0.5

Width 2
Height 1

Armor 0.5
Armor_Explosion 0.81
Movement_Speed_Multiplier 0.9

Durability 1

Blueprints 4
Actions 3
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 37355
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27

// Add Arms
Blueprint_1_State_Transfer
Blueprint_1_Type Apparel
Blueprint_1_Supplies 2
Blueprint_1_Supply_0_ID 37319
Blueprint_1_Supply_1_ID 37379
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 37372
Blueprint_1_Build 27
Action_0_Type Blueprint
Action_0_Source 37319
Action_0_Blueprints 0
Action_0_Blueprint_0_Index 1
Action_0_Text Add Arms
Action_0_Tooltip Combining arm armor with body armor.

// Add Stomach
Blueprint_2_State_Transfer
Blueprint_2_Type Apparel
Blueprint_2_Supplies 2
Blueprint_2_Supply_0_ID 37319
Blueprint_2_Supply_1_ID 37380
Blueprint_2_Outputs 1
Blueprint_2_Output_0_ID 37374
Blueprint_2_Build 27
Action_1_Type Blueprint
Action_1_Source 37319
Action_1_Blueprints 0
Action_1_Blueprint_0_Index 2
Action_1_Text Add Stomach
Action_1_Tooltip Combining stomach armor with body armor.

// Add Bags
Blueprint_3_State_Transfer
Blueprint_3_Type Apparel
Blueprint_3_Supplies 2
Blueprint_3_Supply_0_ID 37319
Blueprint_3_Supply_1_ID 37378
Blueprint_3_Outputs 1
Blueprint_3_Output_0_ID 37320
Blueprint_3_Build 27
Action_2_Type Blueprint
Action_2_Source 37319
Action_2_Blueprints 0
Action_2_Blueprint_0_Index 3
Action_2_Text Add Bags
Action_2_Tooltip Combining body armor with bags.
