GUID 085ce45f891344b188eaa8bf243ebb37

Type Gun
Rarity Mythical
Useable Gun
Slot Primary
ID 64631

Size_X 4
Size_Y 2
Size_Z 0.45

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Guns/PS_Flamethrower

Should_Delete_Empty_Magazines False

Magazine 10605

Ammo_Min 180
Ammo_Max 180

Safety
Auto

Caliber 22506

Firerate 2

Unplace 0.3
Replace 0.65

Action Rocket

Player_Damage 15
Zombie_Damage 70
Animal_Damage 70
Barricade_Damage 25
Structure_Damage 25
Vehicle_Damage 1
Resource_Damage 25
Object_Damage 25

Range 3
Explosion 10510

Durability 0

Spread_Aim 0.95
Spread_Hip 0.3

Projectile_Explosion_Launch_Speed 0

Ballistic_Force 1550

Recoil_Min_X -0.5
Recoil_Min_Y -0.5
Recoil_Max_X 0.5
Recoil_Max_Y 0.5

Recover_X 1
Recover_Y 1

Shake_Min_X -0.0015
Shake_Min_Y -0.001
Shake_Min_Z -0.0125
Shake_Max_X 0.0015
Shake_Max_Y -0.001
Shake_Max_Z -0.0125

Recoil_Crouch 1
Recoil_Prone 1

Spread_Prone 1
Spread_Crouch 1

Quality_Min 100
Quality_Max 100

Alert_Radius 32
Gunshot_Rolloff_Distance 160


Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 19659
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27

