GUID 93de10591ea04c42815834e284f3ef7a

Type Storage
Rarity Epic
Useable Barricade
Build Storage
ID 57261

Size_X 2
Size_Y 3
Size_Z 0.65

Health 650
Range 4
Radius 0.25
Offset 1

Storage_X 6
Storage_Y 10

Locked

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 6
Blueprint_0_Supply_1_ID 285
Blueprint_0_Supply_1_Amount 4
Blueprint_0_Supply_2_ID 57110 
Blueprint_0_Supply_2_Amount 1
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27
Blueprint_0_Map Elver

Should_Close_When_Outside_Range true

Asset_Bundle_Version 3
