GUID e2bc998bb7924716832e5e234bfcc8ab
Type Gun
Useable Gun
Slot Primary
ID 41838
Requires_NonZero_Attachment_Caliber true
Size_X 5
Size_Y 2
Size2_Z 0.37
Reload_Time 4
Turret
Magazine 41839
Quality_Min 100
Quality_Max 100
Ammo_Min 15
Ammo_Max 30
Semi
Auto
Invulnerable
Durability 0.4
Magazine_Calibers 1
Magazine_Caliber_0 43040
Range 290
Firerate 10
Action Trigger
Use_Auto_Stat_Descriptions false

Player_Damage 45
Player_Leg_Multiplier 0.9
Player_Arm_Multiplier 1
Player_Spine_Multiplier 1.2
Player_Skull_Multiplier 1.7

Zombie_Damage 105
Zombie_Leg_Multiplier 0.4
Zombie_Arm_Multiplier 0.6
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 1.8

Animal_Damage 50
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.3

Ballistic_Steps 29
Ballistic_Travel 10
Ballistic_Drop 0.003
Damage_Falloff_Range 50
Damage_Falloff_Max_Range 70
Damage_Falloff_Multiplier 0.03
Shell 42000
Barricade_Damage 50
Structure_Damage 45
Vehicle_Damage 76
Resource_Damage 60
Object_Damage 70

Spread_Aim 0.03
Spread_Hip 1.5
Spread_Angle_Degrees 13.5

Recoil_Min_X -3
Recoil_Min_Y 3.5
Recoil_Max_X 2.5
Recoil_Max_Y 4

Recover_X 0.7
Recover_Y 0.7

Shake_Min_X -0.005
Shake_Min_Y 0.001
Shake_Min_Z -0.009
Shake_Max_X 0.001
Shake_Max_Y -0.005
Shake_Max_Z -0.04
