GUID ddedef680c9340dba64b018cfcf23893

Type Vehicle
Has_Clip_Prefab False

ID 19015
Rarity Rare

//////////////////////////////////////////////////////////Balance Stats

Passenger_Explosion_Armor 0.9

Melee_Damage_Multiplier 1

Speed_Min -10
Speed_Max 15

Steer_Min 15
Steer_Max 15

Brake 60

Fuel_Min 2000
Fuel_Max 2500
Fuel 5000

Health_Min 1200
Health_Max 1600
Health 1700

Trunk_Storage_X 6
Trunk_Storage_Y 10

Fuel_Burn_Rate 4

///////////////////////////////////////////////////////////////////////

Explosion 19021


Default_Battery a9c5e916c29646fdba9d08f6a7ce02b6
Battery_Burn_Rate 4
Battery_Charge_Rate 2
BatteryMode_Headlights Burn
BatteryMode_Sirens Burn
BatteryMode_Driving Charging
BatteryMode_Empty None

WheelConfigurations
[
	{
		WheelColliderPath Tires/Tire_0
		IsColliderSteered true
		IsColliderPowered false
		ModelPath Wheels/Wheel_0
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_1
		IsColliderSteered true
		IsColliderPowered false
		ModelPath Wheels/Wheel_1
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_2
		IsColliderSteered false
		IsColliderPowered false
		ModelPath Wheels/Wheel_2
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_3
		IsColliderSteered false
		IsColliderPowered false
		ModelPath Wheels/Wheel_3
		ModelUseColliderPose true
	}
    {
        WheelColliderPath Tires/Tire_4
        IsColliderSteered false
        IsColliderPowered true
        ModelPath Wheels/Wheel_4
        ModelUseColliderPose true
    }
    {
        WheelColliderPath Tires/Tire_5
        IsColliderSteered false
        IsColliderPowered true
        ModelPath Wheels/Wheel_5
        ModelUseColliderPose true
    }
]


Physics_Profile 43d1c68079f344d2a3646179afe02d60



Tires_Invulnerable
Bumper_Invulnerable

Valid_Speed_Horizontal 200

IgnitionAudioClip Sounds/Vehicular/Ignition_Standard.mp3
HornAudioClip Vehicles/URAL/Horn.wav

Cam_Follow_Distance 10

DefaultPaintColors
[
    "#6c6966" // Gray
    "#a8a39e" // White
    "#a58551" // Yellow
    "#755a3f" // Brown
    "#6b7b82" // Blue
]


PaintableSections
[
    {
        Path Model_0
        MaterialIndex 0
    }
    {
        Path Model_1
        MaterialIndex 0
    }
]



ExplosionBurnMaterialSections
[
    {
        Path Model_0
		AllMaterials true
    }
    {
        Path Model_1
		AllMaterials true
    }
    {
        Path Model_2
        AllMaterials true
    }
    {
        Path Model_3
        AllMaterials true
    }
    {
        Path Model_4
        AllMaterials true
    }
    {
        Path Model_5
        AllMaterials true
    }
    {
        Path Model_6
        AllMaterials true
    }
    {
        Path Wheels/Wheel_0/Model_0
		AllMaterials true
    }
    {
        Path Wheels/Wheel_0/Model_1
		AllMaterials true
    }
    {
        Path Wheels/Wheel_1/Model_0
		AllMaterials true
    }
    {
        Path Wheels/Wheel_1/Model_1
		AllMaterials true
    }
    {
        Path Wheels/Wheel_2/Model_0
		AllMaterials true
    }
    {
        Path Wheels/Wheel_2/Model_1
		AllMaterials true
    }
    {
        Path Wheels/Wheel_3/Model_0
		AllMaterials true
    }
    {
        Path Wheels/Wheel_3/Model_1
		AllMaterials true
    }
    {
        Path Wheels/Wheel_4/Model_0
        AllMaterials true
    }
    {
        Path Wheels/Wheel_4/Model_1
        AllMaterials true
    }
    {
        Path Wheels/Wheel_5/Model_0
        AllMaterials true
    }
    {
        Path Wheels/Wheel_5/Model_1
        AllMaterials true
    }
]

Turrets 1

Turret_0_Seat_Index 2
Turret_0_Item_ID 19163
Turret_0_Yaw_Min -60
Turret_0_Yaw_Max 60
Turret_0_Pitch_Min 49
Turret_0_Pitch_Max 108
