GUID 03b36843e26b41309f0282e9d8023ad2


Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 63996

EquipAudioClip aridreborn.masterbundle:Assets/Guns_Equip/Equip_DMR.wav

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Guns/Battle_Rifles/PS_MI10

Size_X 5
Size_Y 2
Size_Z 0.43

Sight 19997
Magazine 63836
Grip 19751

Hook_Sight
Hook_Tactical
Hook_Barrel

Ammo_Min 3
Ammo_Max 10


Semi

Attachment_Calibers 2
Attachment_Caliber_0 18905
Attachment_Caliber_1 18902

Magazine_Calibers 1
Magazine_Caliber_0 19309

Unplace 0.03
Replace 0.41

Range 450
Ballistic_Steps 30
Ballistic_Travel 25
Ballistic_Drop 0.0013

Firerate 8
Action Trigger

Player_Damage 75
Player_Leg_Multiplier 0.55
Player_Arm_Multiplier 0.55
Player_Spine_Multiplier 0.75
Player_Skull_Multiplier 1.2

Zombie_Damage 166
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.9
Zombie_Skull_Multiplier 1.3

Animal_Damage 155
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 50
Structure_Damage 50
Vehicle_Damage 110
Resource_Damage 150
Object_Damage 100

Durability 0.9

Spread_Aim 0.001
Spread_Hip 0.15

Recoil_Min_X 0.2
Recoil_Min_Y 0.6
Recoil_Max_X 2
Recoil_Max_Y 2.4

Recover_X 0.2
Recover_Y 0.2

Shake_Min_X -0.0007
Shake_Min_Y -0.007
Shake_Min_Z -0.01
Shake_Max_X 0.0007
Shake_Max_Y -0.007
Shake_Max_Z -0.01

Muzzle 19014

Shell 19005

Gunshot_Rolloff_Distance 1100

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 18400
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27

BladeIDs 2
BladeID_0 0
BladeID_1 2

Recoil_Crouch 0.8
Recoil_Prone 0.5

Spread_Prone 0.8
Spread_Crouch 0.5

Player_Damage_Bleeding Always

Quality_Min 5
Quality_Max 15
