GUID 30aeade912c846ceaa0cf49319a929b1
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 19192

Should_Delete_Empty_Magazines False

Sight 19116
Magazine 19193

Ammo_Min 1
Ammo_Max 1

Semi

Caliber 19193

Firerate 50
Action Rocket

Player_Damage 250
Zombie_Damage 500
Animal_Damage 500
Barricade_Damage 560
Structure_Damage 755
Vehicle_Damage 6000
Resource_Damage 2000
Object_Damage 50000
Projectile_Explosion_Launch_Speed 30

Gunshot_Rolloff_Distance 50

Range 20
Explosion 19095

Aim_In_Duration 0.05
Spread_Aim 0
Spread_Hip 0

Ballistic_Force 30

Recoil_Min_X -0.3
Recoil_Min_Y 0.3
Recoil_Max_X 0.3
Recoil_Max_Y 0.3

Recover_X 1
Recover_Y 1

Muzzle 0
Shell 0

Reload_Time 1
Turret
