GUID 8e1d7e6f41494fc4bc54c67bd924b9a8
Type Gun
Rarity Mythical
Useable Gun
Slot Primary
ID 10631

Size_X 5
Size_Y 2
Size_Z 0.32

Should_Delete_Empty_Magazines True

Allow_Flesh_Fx False

Magazine 10605

Ammo_Min 200
Ammo_Max 200

Safety
Auto

Magazine_Calibers 1
Magazine_Caliber_0 18839

Unplace 0.3
Replace 0.65

Range 3
Explosion 10510

Projectile_Explosion_Launch_Speed 0

Ballistic_Force 1500

Quality_Min 100
Quality_Max 100

Alert_Radius 32
Gunshot_Rolloff_Distance 160

Player_Damage_Bleeding Never

Blueprints 1
//Repair
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 19659
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Build 27

Actions 1

Action_0_Type Blueprint
Action_0_Blueprint_0_Index 0
Action_0_Blueprint_0_Link
Action_0_Text Repair
Action_0_Tooltip Repair gun.

////////////////////////////////////////Balance Stats

Aim_In_Duration 0.4

Firerate 3
Action Rocket

Player_Damage 11
Player_Leg_Multiplier 1
Player_Arm_Multiplier 1
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1

Zombie_Damage 22
Zombie_Leg_Multiplier 1
Zombie_Arm_Multiplier 1
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 1

Animal_Damage 22
Animal_Leg_Multiplier 1
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1

Barricade_Damage 11
Structure_Damage 11
Vehicle_Damage 11
Resource_Damage 22
Object_Damage 22

Durability 0.03

Recoil_Min_X -0.9
Recoil_Min_Y 0.8
Recoil_Max_X 0.9
Recoil_Max_Y 1

Recover_X 0.95
Recover_Y 0.95

Shake_Min_X -0.001
Shake_Min_Y -0.01
Shake_Min_Z 0
Shake_Max_X 0.001
Shake_Max_Y -0.02
Shake_Max_Z -0.005

Recoil_Crouch 1.1
Recoil_Prone 2.5
Recoil_Midair 3

Spread_Aim 0.1
Spread_Hip 0.1
Spread_Prone 0.5
Spread_Crouch 0.9
Spread_Midair 3

