GUID 99bd31e3a9044cd280a9b5a79670dd86

Type Melee
Rarity Legendary
Useable Melee
Slot Any
ID 36413

Size_X 3
Size_Y 2

BladeIDs 3
BladeID_0 36
BladeID_1 2
BladeID_2 0

Range 3
Alert_Radius 24

Player_Damage 25
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 45
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 25
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 3
Structure_Damage 3
Vehicle_Damage 10
Resource_Damage 250
Object_Damage 250

Repeated
