GUID 4e70419c922a4afb9272de89a2b06cef

Type Gun
Rarity Mythical
Useable Gun
Slot Primary
ID 63930

Aim_In_Duration 0.3
Fire_Delay_Seconds 0.1
Equipable_Movement_Speed_Multiplier 0.9

EquipAudioClip aridreborn.masterbundle:Assets/Guns_Equip/Equip_AA12.wav

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Guns/Shotguns/PS_AA12

Use_Auto_Icon_Measurements False

Size_X 4
Size_Y 2
Size_Z 0.35

Unplace 0.15
Replace 0.65

Magazine 63929
Grip 19751

Ammo_Min 10
Ammo_Max 20

Safety
Auto

Attachment_Calibers 1
Attachment_Caliber_0 18901

Magazine_Calibers 1
Magazine_Caliber_0 19929

Firerate 7
Action Trigger

Player_Damage 48
Player_Leg_Multiplier 0.33
Player_Arm_Multiplier 0.33
Player_Spine_Multiplier 1
Player_Skull_Multiplier 2

Zombie_Damage 105
Zombie_Leg_Multiplier 0.33
Zombie_Arm_Multiplier 0.33
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 2

Animal_Damage 105
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 2


BladeIDs 2
BladeID_0 0
BladeID_1 2
Barricade_Damage 50
Structure_Damage 50
Vehicle_Damage 100
Resource_Damage 200
Object_Damage 200

Durability 0.1

Spread_Aim 0.95
Spread_Hip 0.05

Recoil_Min_X -1.5
Recoil_Min_Y 2
Recoil_Max_X 2
Recoil_Max_Y 4

Recover_X 0.5
Recover_Y 0.1

Shake_Min_X 0.01
Shake_Min_Y -0.007
Shake_Min_Z -0.02
Shake_Max_X -0.01
Shake_Max_Y -0.009
Shake_Max_Z -0.025

Range 96
Ballistic_Steps 36
Ballistic_Travel 8
Ballistic_Drop 0.0015

Muzzle 19066
Shell 19064

Recoil_Crouch 0.8
Recoil_Prone 1

Spread_Prone 1
Spread_Crouch 1

Player_Damage_Bleeding Always

Quality_Min 60
Quality_Max 75

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27

Gunshot_Rolloff_Distance 800
BladeIDs 2
BladeID_0 0
BladeID_1 2
