GUID cb2557eac2ce4cad95db2fe37a3d4520


Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 63840

EquipAudioClip aridreborn.masterbundle:Assets/Guns_Equip/Equip_AR.wav

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Guns/Assault_Rifles/PS_GP460_3

Aim_In_Duration 0.3

Size_X 4
Size_Y 2
Size_Z 0.35

Sight 19772
Magazine 63260
Barrel 19347
Grip 19750

Hook_Sight
Hook_Tactical

Ammo_Min 10
Ammo_Max 30


Auto
Semi

Attachment_Calibers 2
Attachment_Caliber_0 18904
Attachment_Caliber_1 18902

Magazine_Calibers 1
Magazine_Caliber_0 19260

Unplace 0.1
Replace 0.42

Firerate 5
Action Trigger

Player_Damage 38
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 100
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 100
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 15
Vehicle_Damage 40
Resource_Damage 80
Object_Damage 80

Spread_Aim 0.033
Spread_Hip 0.3

Recoil_Min_X 0.1
Recoil_Min_Y 1
Recoil_Max_X 0.4
Recoil_Max_Y 1.4

Recover_X 0.6
Recover_Y 0.4


Range 600
Ballistic_Steps 25
Ballistic_Travel 17
Ballistic_Drop 0.0014

Damage_Falloff_Range 0.05
Damage_Falloff_Max_Range 0.45
Damage_Falloff_Multiplier 0.6

Shake_Min_X 0.004
Shake_Min_Y -0.003
Shake_Min_Z -0.01
Shake_Max_X -0.004
Shake_Max_Y -0.003
Shake_Max_Z -0.01

Muzzle 19026

Shell 19018

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 19619
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 19348
Blueprint_1_Product 19262
Blueprint_1_Products 2
Blueprint_1_Tool 19004
Blueprint_1_Build 27

Gunshot_Rolloff_Distance 700

BladeIDs 2
BladeID_0 0
BladeID_1 2

Use_Auto_Icon_Measurements False

Recoil_Crouch 0.8
Recoil_Prone 0.8

Spread_Prone 0.7
Spread_Crouch 0.7

Player_Damage_Bleeding Always

Quality_Min 5
Quality_Max 15
