// Made in NPC Maker by BowieD
GUID 1643262ac1624ff48b8cd36c681e8134
Type Vendor
ID 13031
Buying 9
Buying_0_ID 58296
Buying_0_Cost 1
Buying_1_ID 19510
Buying_1_Cost 3
Buying_2_ID 61902
Buying_2_Cost 2
Buying_3_ID 58295
Buying_3_Cost 5
Buying_4_ID 59248
Buying_4_Cost 6
Buying_5_ID 59262
Buying_5_Cost 8
Buying_6_ID 59342
Buying_6_Cost 10
Buying_7_ID 58152
Buying_7_Cost 10
Buying_8_ID 21345
Buying_8_Cost 8
Selling 3
Selling_0_ID 58419
Selling_0_Cost 10
Selling_1_ID 58420
Selling_1_Cost 100
Selling_2_ID 58421
Selling_2_Cost 1000
Currency 7d6d98a5030c4946b3093c204e2b75df
