GUID 0a6b2526deb74f5292c7db2e33a6f278
Type Magazine
Rarity Legendary
ID 10570

Size_X 2
Size_Y 2
Size_Z 0.3

Amount 250
Count_Min 10
Count_Max 25

Calibers 1
Caliber_0 18833

Tracer 19084

Use_Auto_Icon_Measurements True

Ballistic_Damage_Multiplier 0.5

Range 5
Player_Damage 15
Zombie_Damage 30
Animal_Damage 30
Barricade_Damage 24
Structure_Damage 21
Vehicle_Damage 15
Resource_Damage 30
Object_Damage 30
Explosion 19044
Explosive

Blueprints 9
//Debug
Blueprint_0_Type Tool
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 18999
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Tool 18999
Blueprint_0_Tool_Critical
Blueprint_0_Build 27
//Frag Ammo Box
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 19944
Blueprint_1_Build 30
//AR Frag Mag
Blueprint_2_Type Ammo
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 19019
Blueprint_2_Build 30
//Chainsaw Drum
Blueprint_3_Type Ammo
Blueprint_3_Supplies 1
Blueprint_3_Supply_0_ID 10570
Blueprint_3_Build 30
//Drachenzahn Frag Mag
Blueprint_4_Type Ammo
Blueprint_4_Supplies 1
Blueprint_4_Supply_0_ID 10829
Blueprint_4_Build 30
//Honey Bee Frag Mag
Blueprint_5_Type Ammo
Blueprint_5_Supplies 1
Blueprint_5_Supply_0_ID 19496
Blueprint_5_Build 30
//K249 Frag Box
Blueprint_6_Type Ammo
Blueprint_6_Supplies 1
Blueprint_6_Supply_0_ID 10827
Blueprint_6_Build 30
//MKP Frag Box
Blueprint_7_Type Ammo
Blueprint_7_Supplies 1
Blueprint_7_Supply_0_ID 19020
Blueprint_7_Build 30
//Zolash Frag Mag
Blueprint_8_Type Ammo
Blueprint_8_Supplies 1
Blueprint_8_Supply_0_ID 19657
Blueprint_8_Build 30
